draw,n_wells,axis_1,axis_2,axis_3
109,12,0.7097591745945063,0.13963127803850917,0.08754787101408291
110,12,0.49784625039392016,0.2063954565285058,0.1839386900833911
111,12,0.4703859963705377,0.3602330329573414,0.10173270511338525
112,12,0.8108054902866453,0.12122384030909936,0.04881881690030834
113,12,0.5282878409175238,0.23768055503546073,0.11673764653489783
114,12,0.49985248766780577,0.35214581024358127,0.07167653971941748
115,12,0.4121390582405188,0.3167000568563706,0.15311921564141442
116,12,0.49913917609889696,0.22481384402007593,0.16217681413259638
117,12,0.8370706398688601,0.059713293305736645,0.046340450629670606
118,12,0.4453374488714315,0.3108758128655894,0.14808970003292798
119,12,0.6104360065441373,0.19990720915980953,0.1024938753102671
120,12,0.47691459255155494,0.3270881434448431,0.13900144631122127
121,12,0.640250969856498,0.15644289942909267,0.10079439594495616
122,12,0.653831205108917,0.22739843605229687,0.06686546140483589
123,12,0.5943893409199908,0.2159715255221271,0.09320888161477948
124,12,0.6231783256689618,0.21308635309813617,0.09979427121254059
125,12,0.5755107267120533,0.22591576351188453,0.09782958743178365
126,12,0.5133311840110966,0.24415210086717914,0.12787610943963273
127,12,0.5938863111550774,0.19436716004726642,0.10592833509465402
128,12,0.7869221948734023,0.1088161515331499,0.07050040683613458
129,12,0.7357902262501694,0.12729250229891206,0.08200331370078726
130,12,0.6626781782297138,0.20855869023462537,0.055316203125997845
131,12,0.468349052529729,0.3114954700235881,0.1625215304242934
132,12,0.5020872102956974,0.2262151531846544,0.13602284562441305
133,12,0.7651073368122795,0.11891453025253795,0.07660568277262311
134,12,0.6518052090530048,0.1746113733778736,0.10738722000187871
135,12,0.34511003264787327,0.32788192989079906,0.16109231621487727
136,12,0.8552690012694354,0.06124071317762167,0.042935553221101826
137,12,0.7184916422726126,0.13113350448411157,0.08424963314423321
138,12,0.49749186404044327,0.23120772173451803,0.15674708887748728
139,12,0.4673934358474979,0.19923909273961496,0.1775716266107836
140,12,0.5220916855482969,0.25012788530147584,0.1464173585595326
141,12,0.4861029537988477,0.3070886701152712,0.09505624624129007
142,12,0.6517906111729986,0.1978424082020914,0.06932959937866019
143,12,0.8777258932272195,0.05054962232658428,0.04604092623348866
144,12,0.8876878365017099,0.04661488767956266,0.03501849338939674
145,12,0.3600050923927392,0.3043745880575011,0.23924955157317834
146,12,0.624603157551774,0.1694381097176769,0.09192981442264876
147,12,0.7345819760241836,0.15774131802383073,0.04874955891429422
148,12,0.6137269214521541,0.18292678849283503,0.11408163294142787
149,12,0.4541981472427266,0.33837484195957607,0.11236497381604654
150,12,0.5028166285106518,0.22771765567980448,0.159538208204278
151,12,0.8131853579882118,0.09738309213733586,0.03936904936156619
152,12,0.38608655291632565,0.23945752857503827,0.18126191107957912
153,12,0.680119688547458,0.15843334874991394,0.09730467019958572
154,12,0.49509340000838653,0.25730176988654796,0.15993281569683465
155,12,0.6769794067629383,0.22819149424776364,0.057201653927989156
156,12,0.6231499302295678,0.245849367555653,0.06981606790067012
157,12,0.8083569722969536,0.11768211794066333,0.04474902873667206
158,12,0.42681806046393517,0.295930841857379,0.15925161469990515
159,12,0.6703619993584173,0.21530260471258597,0.08257225554535037
160,12,0.7540506391411016,0.1324644713349095,0.06462986138404443
161,12,0.5869059620643664,0.24268309082327472,0.09008728708618878
162,12,0.5140319799290022,0.22642445968496,0.13510552784883764
163,12,0.9047744679690127,0.05261996373437944,0.0193465188970069
164,12,0.5370853507416675,0.2917653038663997,0.06888343201243508
165,12,0.6023427781384348,0.17721303585955597,0.15483401296171032
166,12,0.506816722617142,0.23625026453337938,0.10990254990182481
167,12,0.4677493766594611,0.3153523554458361,0.12872616174054766
168,12,0.7605460468505456,0.10977477041513961,0.08658698981973895
169,12,0.5825501423009447,0.17250008306315345,0.10390326214150766
170,12,0.5159344135710482,0.32338722611751475,0.08345831156695183
171,12,0.6205959042216516,0.28640288347241,0.06377282181590806
172,12,0.7063260916393492,0.1989020490932299,0.051360029295613625
173,12,0.8441629852988695,0.08464313044479976,0.05635018575129459
174,12,0.5877082643699503,0.25758071452759423,0.09675188676297464
175,12,0.6636807295245702,0.18183804576079957,0.10054103227887011
176,12,0.41201991763560747,0.26543007331327445,0.13797434233776626
177,12,0.7124498172876614,0.1703986210518501,0.08194794461301817
178,12,0.8322695330335321,0.11528422861135922,0.031578541728089486
179,12,0.8367381154388467,0.06384139500817698,0.05541447150404943
180,12,0.4942054718167156,0.24507907767296036,0.13140230442369602
181,12,0.40426922365698836,0.2101852620036023,0.17740351220749145
182,12,0.6462244413271913,0.16439328132548148,0.12293576375499071
183,12,0.5239751931535288,0.33937929530701727,0.07811640504759267
184,12,0.4141857091593174,0.39457637329877204,0.1143940244127996
185,12,0.6487831390193581,0.16003657340921723,0.09520736670072455
186,12,0.5407813296814604,0.3163192677018392,0.08633629107936971
187,12,0.5648034754151259,0.2156218204734838,0.1393510726950716
188,12,0.5833029757182708,0.2780994265163756,0.06093347662282657
189,12,0.51135583060238,0.2656580025496796,0.13471108019679925
