cohort,target,temperature,timepoint,n_wells,axis_1_var_ratio,axis_1_stability,axis_1_eig_lo,axis_1_eig_hi,axis_1_null_pctile,axis_2_var_ratio,axis_2_stability,axis_2_eig_lo,axis_2_eig_hi,axis_2_null_pctile,axis_3_var_ratio,axis_3_stability,axis_3_eig_lo,axis_3_eig_hi,axis_3_null_pctile
Control | 24C | 24hpf,Control,24,24,12,0.46038910451169535,0.8187611066044026,0.15483019676425644,0.3789996632232218,10.0,0.37399257890465115,0.7964558545134204,0.05934932500602288,0.1874134774598753,99.0,0.10225572678316361,0.9028903937351527,0.0168161281435633,0.06502045779796727,60.333333333333336
Control | 35C | 36hpf,Control,35,36,12,0.5314704595671448,0.9724161540919347,0.5734765155063498,1.4576420926809406,26.666666666666668,0.20258914570099618,0.8427853611590724,0.2157752347047418,0.5307198107833498,52.0,0.13273270328358794,0.6762400590566766,0.09710998692856448,0.27627658003674443,82.33333333333334
atf6 | 24C | 24hpf,atf6,24,24,11,0.509821211707523,0.8283046725251922,0.1310784514360036,0.7190885009786344,21.333333333333336,0.28474645200002624,0.773799711370944,0.06454693074939845,0.2605316043474228,83.66666666666667,0.10369229006729576,0.7123139972495436,0.025746151566418563,0.11111129405772407,63.0
atf6 | 24C | 30hpf,atf6,24,30,11,0.7086237665558015,0.9903834883500706,0.46690383610426,1.2081976294340366,65.0,0.11929753536685785,0.8461067192391886,0.09245232405234188,0.22666768758057926,24.0,0.07087668313365271,0.6287363397615359,0.045332790077939784,0.11751808922860443,35.66666666666667
atf6 | 24C | 36hpf,atf6,24,36,12,0.7165197925991483,0.9272092531866304,0.2642390532756198,2.237971592305153,66.0,0.16165307923066688,0.8292256281180242,0.06669183256523706,0.3922716923923923,36.333333333333336,0.08227733815537128,0.786829210699584,0.02759278374865476,0.16171016832882026,46.33333333333333
atf6 | 28C | 24hpf,atf6,28,24,12,0.627849596269215,0.9595880385121515,0.5739635684590124,1.738862631272305,51.0,0.27292831141257723,0.9497283114229822,0.10061202299682344,0.6335472262420271,82.0,0.04642053677059208,0.6607103850549386,0.035600655706979366,0.11683776369899079,14.000000000000002
atf6 | 28C | 30hpf,atf6,28,30,12,0.7646783880344977,0.9939630252777785,0.4756196184043268,1.1533160973577223,74.0,0.0958642894955151,0.8044442638613678,0.06891168164105148,0.16361517007409337,15.333333333333332,0.07063742187272662,0.7212838149043013,0.02788395344551012,0.09147867267169131,35.66666666666667
atf6 | 28C | 36hpf,atf6,28,36,12,0.8529137782285532,0.9547933118300403,0.2784276063647199,3.8503751692644705,95.33333333333334,0.06967145808653741,0.8086869543293875,0.06854970523570164,0.3069221820382372,6.666666666666667,0.040193544755238425,0.6760265119242632,0.021675968356764733,0.13335313288667183,6.666666666666667
atf6 | 34C | 24hpf,atf6,34,24,12,0.7141258770925181,0.9868131144593661,0.17654804791805392,0.6096200035584384,65.66666666666666,0.12332265778547301,0.8228481515158191,0.04868318920404239,0.09442059285582786,25.666666666666664,0.09257094769508394,0.7726979031624818,0.021319373954593084,0.05490997277124625,53.0
atf6 | 34C | 30hpf,atf6,34,30,12,0.8117121796113144,0.9102879578770893,0.20582324605906208,2.31799871687552,83.0,0.14489134783937985,0.879235737834211,0.04266717503930496,0.2554398666707834,32.33333333333333,0.022084547545444345,0.8230553578768738,0.009257918167973264,0.04050771216960738,0.6666666666666667
atf6 | 34C | 36hpf,atf6,34,36,12,0.8456927957580558,0.9954152830618709,1.4481100619882243,2.5982321509549036,92.66666666666666,0.08026937126518288,0.8004548925220669,0.08371334110914946,0.40550420183993036,9.0,0.042342327100382625,0.6927705277046292,0.03085318102498845,0.1373599290542611,8.333333333333332
