cohort,target,temperature,timepoint,axis,global_component,loading
Control | 34C | 36hpf,Control,34,36,axis_2,G01,0.5580204494388438
Control | 34C | 36hpf,Control,34,36,axis_2,G02,-0.6881026423297496
Control | 34C | 36hpf,Control,34,36,axis_2,G03,-0.4255122324118066
Control | 34C | 36hpf,Control,34,36,axis_2,G04,0.08482907069535325
Control | 34C | 36hpf,Control,34,36,axis_2,G05,-0.08386917055893948
Control | 34C | 36hpf,Control,34,36,axis_2,G06,-0.029015488895379412
Control | 34C | 36hpf,Control,34,36,axis_2,G07,-0.01031642122904465
Control | 34C | 36hpf,Control,34,36,axis_2,G08,0.007656087163513601
Control | 34C | 36hpf,Control,34,36,axis_2,G09,0.11643020576619878
Control | 34C | 36hpf,Control,34,36,axis_3,G00,0.4989232080614224
Control | 34C | 36hpf,Control,34,36,axis_3,G01,-0.3638748323479908
Control | 34C | 36hpf,Control,34,36,axis_3,G02,-0.1429881669917354
Control | 34C | 36hpf,Control,34,36,axis_3,G03,-0.056702566953330834
Control | 34C | 36hpf,Control,34,36,axis_3,G04,-0.2014091896077296
Control | 34C | 36hpf,Control,34,36,axis_3,G05,-0.7074843223246416
Control | 34C | 36hpf,Control,34,36,axis_3,G06,0.1893079998373539
Control | 34C | 36hpf,Control,34,36,axis_3,G07,-0.10692443894271966
Control | 34C | 36hpf,Control,34,36,axis_3,G08,-0.05622664060402019
Control | 34C | 36hpf,Control,34,36,axis_3,G09,0.05897816790828638
Control | 35C | 24hpf,Control,35,24,axis_1,G00,0.868207657935794
Control | 35C | 24hpf,Control,35,24,axis_1,G01,-0.08175860515445565
Control | 35C | 24hpf,Control,35,24,axis_1,G02,0.18475295490377985
Control | 35C | 24hpf,Control,35,24,axis_1,G03,-0.3408952006620046
Control | 35C | 24hpf,Control,35,24,axis_1,G04,-0.2830350820225744
Control | 35C | 24hpf,Control,35,24,axis_1,G05,-0.06207538565550141
Control | 35C | 24hpf,Control,35,24,axis_1,G06,0.05483544615972008
Control | 35C | 24hpf,Control,35,24,axis_1,G07,0.03854466527908523
Control | 35C | 24hpf,Control,35,24,axis_1,G08,-0.0240397084246666
Control | 35C | 24hpf,Control,35,24,axis_1,G09,-0.012452505242475828
Control | 35C | 24hpf,Control,35,24,axis_2,G00,-0.1544066837778165
Control | 35C | 24hpf,Control,35,24,axis_2,G01,0.517910722670166
Control | 35C | 24hpf,Control,35,24,axis_2,G02,0.6978553918050157
Control | 35C | 24hpf,Control,35,24,axis_2,G03,0.12756221863787282
Control | 35C | 24hpf,Control,35,24,axis_2,G04,-0.2844931789602452
Control | 35C | 24hpf,Control,35,24,axis_2,G05,-0.30238083065884247
Control | 35C | 24hpf,Control,35,24,axis_2,G06,-0.05527281816841586
Control | 35C | 24hpf,Control,35,24,axis_2,G07,-0.16498993117607688
Control | 35C | 24hpf,Control,35,24,axis_2,G08,-0.024367287083346872
Control | 35C | 24hpf,Control,35,24,axis_2,G09,-0.03757299203483262
Control | 35C | 24hpf,Control,35,24,axis_3,G00,-0.21634049346530648
Control | 35C | 24hpf,Control,35,24,axis_3,G01,-0.0689848775558835
Control | 35C | 24hpf,Control,35,24,axis_3,G02,0.28345989312100567
Control | 35C | 24hpf,Control,35,24,axis_3,G03,-0.7885811096572579
Control | 35C | 24hpf,Control,35,24,axis_3,G04,0.4462433969452746
Control | 35C | 24hpf,Control,35,24,axis_3,G05,-0.027517925759070937
Control | 35C | 24hpf,Control,35,24,axis_3,G06,-0.11831326081583593
Control | 35C | 24hpf,Control,35,24,axis_3,G07,-0.1360851875300197
Control | 35C | 24hpf,Control,35,24,axis_3,G08,0.05859478750535297
Control | 35C | 24hpf,Control,35,24,axis_3,G09,0.10191780713521087
Control | 35C | 30hpf,Control,35,30,axis_1,G00,0.7035715867799449
Control | 35C | 30hpf,Control,35,30,axis_1,G01,-0.3058748719542189
Control | 35C | 30hpf,Control,35,30,axis_1,G02,0.4911263885656174
Control | 35C | 30hpf,Control,35,30,axis_1,G03,-0.3260564010294587
Control | 35C | 30hpf,Control,35,30,axis_1,G04,-0.17515883370568594
Control | 35C | 30hpf,Control,35,30,axis_1,G05,-0.13884156426136351
Control | 35C | 30hpf,Control,35,30,axis_1,G06,-0.08581222974024823
Control | 35C | 30hpf,Control,35,30,axis_1,G07,-0.07498873254094392
Control | 35C | 30hpf,Control,35,30,axis_1,G08,-0.02418953294127104
Control | 35C | 30hpf,Control,35,30,axis_1,G09,0.019491010965742312
Control | 35C | 30hpf,Control,35,30,axis_2,G00,0.14381452871784664
Control | 35C | 30hpf,Control,35,30,axis_2,G01,-0.34798802443799304
Control | 35C | 30hpf,Control,35,30,axis_2,G02,-0.3895077249271517
Control | 35C | 30hpf,Control,35,30,axis_2,G03,0.45465821135860174
Control | 35C | 30hpf,Control,35,30,axis_2,G04,-0.6115655827723241
Control | 35C | 30hpf,Control,35,30,axis_2,G05,-0.26275696458680103
Control | 35C | 30hpf,Control,35,30,axis_2,G06,0.2012777326506766
Control | 35C | 30hpf,Control,35,30,axis_2,G07,-0.04522493881099057
Control | 35C | 30hpf,Control,35,30,axis_2,G08,-0.1151598844716497
Control | 35C | 30hpf,Control,35,30,axis_2,G09,-0.03029612236207513
Control | 35C | 30hpf,Control,35,30,axis_3,G00,0.5197019993055042
Control | 35C | 30hpf,Control,35,30,axis_3,G01,-0.17294218323052823
Control | 35C | 30hpf,Control,35,30,axis_3,G02,-0.2929275581307009
Control | 35C | 30hpf,Control,35,30,axis_3,G03,0.32013999165414575
Control | 35C | 30hpf,Control,35,30,axis_3,G04,0.6105732540015659
Control | 35C | 30hpf,Control,35,30,axis_3,G05,0.22708689651424419
Control | 35C | 30hpf,Control,35,30,axis_3,G06,0.25927529773270774
Control | 35C | 30hpf,Control,35,30,axis_3,G07,0.1203138943145107
Control | 35C | 30hpf,Control,35,30,axis_3,G08,0.05957687940768041
Control | 35C | 30hpf,Control,35,30,axis_3,G09,0.045694527009167374
Control | 35C | 36hpf,Control,35,36,axis_1,G00,0.6228899484190302
Control | 35C | 36hpf,Control,35,36,axis_1,G01,-0.31294896595494015
Control | 35C | 36hpf,Control,35,36,axis_1,G02,0.6062209213185383
Control | 35C | 36hpf,Control,35,36,axis_1,G03,-0.2639276320178958
Control | 35C | 36hpf,Control,35,36,axis_1,G04,-0.20467431146061704
Control | 35C | 36hpf,Control,35,36,axis_1,G05,-0.15008167427627467
Control | 35C | 36hpf,Control,35,36,axis_1,G06,0.04020703283193763
Control | 35C | 36hpf,Control,35,36,axis_1,G07,-0.10194841288714426
Control | 35C | 36hpf,Control,35,36,axis_1,G08,-0.0183772357305336
Control | 35C | 36hpf,Control,35,36,axis_1,G09,-0.012065097658185097
Control | 35C | 36hpf,Control,35,36,axis_2,G00,0.06294992609057246
Control | 35C | 36hpf,Control,35,36,axis_2,G01,0.40800523308167247
Control | 35C | 36hpf,Control,35,36,axis_2,G02,0.3149078662073578
Control | 35C | 36hpf,Control,35,36,axis_2,G03,0.6634412226113794
Control | 35C | 36hpf,Control,35,36,axis_2,G04,-0.023436896146224656
Control | 35C | 36hpf,Control,35,36,axis_2,G05,-0.27018236409581364
Control | 35C | 36hpf,Control,35,36,axis_2,G06,0.4504785645341808
Control | 35C | 36hpf,Control,35,36,axis_2,G07,-0.09722916193512328
Control | 35C | 36hpf,Control,35,36,axis_2,G08,0.058163623475881165
Control | 35C | 36hpf,Control,35,36,axis_2,G09,-0.030537917794299336
Control | 35C | 36hpf,Control,35,36,axis_3,G00,0.052543757872665374
Control | 35C | 36hpf,Control,35,36,axis_3,G01,-0.635348483946416
Control | 35C | 36hpf,Control,35,36,axis_3,G02,-0.064446299394886
Control | 35C | 36hpf,Control,35,36,axis_3,G03,0.2664459162643238
Control | 35C | 36hpf,Control,35,36,axis_3,G04,0.6667852005053473
Control | 35C | 36hpf,Control,35,36,axis_3,G05,0.020797565865789167
Control | 35C | 36hpf,Control,35,36,axis_3,G06,0.24960296307897978
Control | 35C | 36hpf,Control,35,36,axis_3,G07,-0.08441743651779338
Control | 35C | 36hpf,Control,35,36,axis_3,G08,0.029786359777653516
Control | 35C | 36hpf,Control,35,36,axis_3,G09,0.05544811360394001
atf6 | 24C | 24hpf,atf6,24,24,axis_1,G00,0.033318224535320844
atf6 | 24C | 24hpf,atf6,24,24,axis_1,G01,0.33646076291615035
atf6 | 24C | 24hpf,atf6,24,24,axis_1,G02,0.5068890981315621
atf6 | 24C | 24hpf,atf6,24,24,axis_1,G03,0.6707620573380306
atf6 | 24C | 24hpf,atf6,24,24,axis_1,G04,-0.19410142755462795
atf6 | 24C | 24hpf,atf6,24,24,axis_1,G05,-0.13955252255973744
atf6 | 24C | 24hpf,atf6,24,24,axis_1,G06,0.32632884040085375
atf6 | 24C | 24hpf,atf6,24,24,axis_1,G07,-0.11855264753938237
atf6 | 24C | 24hpf,atf6,24,24,axis_1,G08,0.03216626977459159
atf6 | 24C | 24hpf,atf6,24,24,axis_1,G09,0.00977617532651221
