cohort,target,temperature,timepoint,n_wells,axis,shared_dim,loading,variance_ratio
atf6 | 24C | 36hpf,atf6,24,36,12,cohort_PC2,G02,-0.3887426067616839,0.17989499508549428
atf6 | 24C | 36hpf,atf6,24,36,12,cohort_PC2,G03,0.7572326539681669,0.17989499508549428
atf6 | 24C | 36hpf,atf6,24,36,12,cohort_PC2,G04,0.2591149024609879,0.17989499508549428
atf6 | 28C | 24hpf,atf6,28,24,11,cohort_PC1,G00,0.611288622580229,0.6427334527631896
atf6 | 28C | 24hpf,atf6,28,24,11,cohort_PC1,G01,0.5961165254767685,0.6427334527631896
atf6 | 28C | 24hpf,atf6,28,24,11,cohort_PC1,G02,-0.19381138970755465,0.6427334527631896
atf6 | 28C | 24hpf,atf6,28,24,11,cohort_PC1,G03,-0.20156600044555545,0.6427334527631896
atf6 | 28C | 24hpf,atf6,28,24,11,cohort_PC1,G04,0.43906673825454023,0.6427334527631896
atf6 | 28C | 24hpf,atf6,28,24,11,cohort_PC2,G00,0.6137924370782901,0.28459359812149676
atf6 | 28C | 24hpf,atf6,28,24,11,cohort_PC2,G01,-0.4610910966472077,0.28459359812149676
atf6 | 28C | 24hpf,atf6,28,24,11,cohort_PC2,G02,0.03767674551875108,0.28459359812149676
atf6 | 28C | 24hpf,atf6,28,24,11,cohort_PC2,G03,-0.4740637759957552,0.28459359812149676
atf6 | 28C | 24hpf,atf6,28,24,11,cohort_PC2,G04,-0.4295321220979066,0.28459359812149676
atf6 | 28C | 30hpf,atf6,28,30,11,cohort_PC1,G00,0.8195604642370632,0.8055627985039145
atf6 | 28C | 30hpf,atf6,28,30,11,cohort_PC1,G01,-0.06825454862185842,0.8055627985039145
atf6 | 28C | 30hpf,atf6,28,30,11,cohort_PC1,G02,-0.11817040244402571,0.8055627985039145
atf6 | 28C | 30hpf,atf6,28,30,11,cohort_PC1,G03,0.5557589137486119,0.8055627985039145
atf6 | 28C | 30hpf,atf6,28,30,11,cohort_PC1,G04,0.028805343725357774,0.8055627985039145
atf6 | 28C | 30hpf,atf6,28,30,11,cohort_PC2,G00,0.07898289512936935,0.0867977398255909
atf6 | 28C | 30hpf,atf6,28,30,11,cohort_PC2,G01,0.7824746577599708,0.0867977398255909
atf6 | 28C | 30hpf,atf6,28,30,11,cohort_PC2,G02,0.48017661927160893,0.0867977398255909
atf6 | 28C | 30hpf,atf6,28,30,11,cohort_PC2,G03,0.10116509791896,0.0867977398255909
atf6 | 28C | 30hpf,atf6,28,30,11,cohort_PC2,G04,-0.37508818897471874,0.0867977398255909
atf6 | 28C | 36hpf,atf6,28,36,10,cohort_PC1,G00,0.6844906477383568,0.6680008269616298
atf6 | 28C | 36hpf,atf6,28,36,10,cohort_PC1,G01,-0.012968348615266079,0.6680008269616298
atf6 | 28C | 36hpf,atf6,28,36,10,cohort_PC1,G02,0.5927273973605965,0.6680008269616298
atf6 | 28C | 36hpf,atf6,28,36,10,cohort_PC1,G03,0.38614817806739593,0.6680008269616298
atf6 | 28C | 36hpf,atf6,28,36,10,cohort_PC1,G04,-0.17569346056778057,0.6680008269616298
atf6 | 28C | 36hpf,atf6,28,36,10,cohort_PC2,G00,0.08798211647988105,0.225783035910013
atf6 | 28C | 36hpf,atf6,28,36,10,cohort_PC2,G01,0.9357835729308227,0.225783035910013
atf6 | 28C | 36hpf,atf6,28,36,10,cohort_PC2,G02,-0.1594553256614465,0.225783035910013
atf6 | 28C | 36hpf,atf6,28,36,10,cohort_PC2,G03,-0.016915685957348603,0.225783035910013
atf6 | 28C | 36hpf,atf6,28,36,10,cohort_PC2,G04,-0.3014234737032578,0.225783035910013
atf6 | 34C | 24hpf,atf6,34,24,12,cohort_PC1,G00,0.8929764248704286,0.7754414213143939
atf6 | 34C | 24hpf,atf6,34,24,12,cohort_PC1,G01,-0.02964512071238956,0.7754414213143939
atf6 | 34C | 24hpf,atf6,34,24,12,cohort_PC1,G02,0.44324918481762154,0.7754414213143939
atf6 | 34C | 24hpf,atf6,34,24,12,cohort_PC1,G03,0.07131171214360339,0.7754414213143939
atf6 | 34C | 24hpf,atf6,34,24,12,cohort_PC1,G04,-0.012612347649742166,0.7754414213143939
atf6 | 34C | 24hpf,atf6,34,24,12,cohort_PC2,G00,-0.0690039892851034,0.12041688061957494
atf6 | 34C | 24hpf,atf6,34,24,12,cohort_PC2,G01,0.853107589546684,0.12041688061957494
atf6 | 34C | 24hpf,atf6,34,24,12,cohort_PC2,G02,0.2620696393862981,0.12041688061957494
atf6 | 34C | 24hpf,atf6,34,24,12,cohort_PC2,G03,-0.4306263932513435,0.12041688061957494
atf6 | 34C | 24hpf,atf6,34,24,12,cohort_PC2,G04,-0.115439610480387,0.12041688061957494
atf6 | 34C | 30hpf,atf6,34,30,12,cohort_PC1,G00,0.6186673726981653,0.8286049775128921
atf6 | 34C | 30hpf,atf6,34,30,12,cohort_PC1,G01,-0.10272052904660656,0.8286049775128921
atf6 | 34C | 30hpf,atf6,34,30,12,cohort_PC1,G02,0.5797347993904354,0.8286049775128921
atf6 | 34C | 30hpf,atf6,34,30,12,cohort_PC1,G03,0.5199589712919801,0.8286049775128921
atf6 | 34C | 30hpf,atf6,34,30,12,cohort_PC1,G04,0.015792574832895714,0.8286049775128921
