scope,experiment_id,qc_path,qc_present_at_snapshot,qc_size_bytes,qc_mtime,read_status,read_error,raw_row_count,analyzed_row_count
Keyence,20230831,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20230831/snip_qc/20230831_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20231207,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231207/snip_qc/20231207_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20231208,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231208/snip_qc/20231208_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20240507,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240507/snip_qc/20240507_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20240509_18ss,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240509_18ss/snip_qc/20240509_18ss_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20240509_24hpf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240509_24hpf/snip_qc/20240509_24hpf_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20240510,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240510/snip_qc/20240510_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20240717,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240717/snip_qc/20240717_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20240718,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240718/snip_qc/20240718_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20240724,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240724/snip_qc/20240724_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20240725,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240725/snip_qc/20240725_snip_qc.parquet,False,0,,missing,,0,0
