scope,failure_combination,timepoint_count,rate_all_timepoints,share_of_failed_timepoints,flag_count
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|discontinuous_mask_flag|motion_blur_flag,1,2.2171130084671544e-06,3.5532057021845107e-06,5
All,persistence_dead_flag|edge_flag|discontinuous_mask_flag|focus_flag,1,2.2171130084671544e-06,3.5532057021845107e-06,4
All,edge_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,1,2.2171130084671544e-06,3.5532057021845107e-06,4
All,persistence_dead_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag,1,2.2171130084671544e-06,3.5532057021845107e-06,4
All,overlapping_mask_flag|focus_flag|motion_blur_flag,1,2.2171130084671544e-06,3.5532057021845107e-06,3
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag|focus_flag,1,2.2171130084671544e-06,3.5532057021845107e-06,6
All,viability_dead_flag|persistence_dead_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag,1,2.2171130084671544e-06,3.5532057021845107e-06,6
All,persistence_dead_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag|motion_blur_flag,1,2.2171130084671544e-06,3.5532057021845107e-06,5
All,edge_flag|discontinuous_mask_flag|focus_flag|motion_blur_flag,1,2.2171130084671544e-06,3.5532057021845107e-06,4
All,viability_dead_flag|persistence_dead_flag|edge_flag|discontinuous_mask_flag|focus_flag,1,2.2171130084671544e-06,3.5532057021845107e-06,5
All,viability_dead_flag|persistence_dead_flag|edge_flag|overlapping_mask_flag|motion_blur_flag,1,2.2171130084671544e-06,3.5532057021845107e-06,5
All,viability_dead_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,1,2.2171130084671544e-06,3.5532057021845107e-06,5
All,viability_dead_flag|persistence_dead_flag|discontinuous_mask_flag|overlapping_mask_flag|motion_blur_flag,1,2.2171130084671544e-06,3.5532057021845107e-06,5
Keyence,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|focus_flag,3407,0.11845902437328326,0.26127300613496934,4
Keyence,sa_outlier_flag,2859,0.09940544487326589,0.21924846625766872,1
Keyence,sa_outlier_flag|focus_flag,1005,0.03494315218525086,0.07707055214723926,2
Keyence,focus_flag,835,0.029032370223566636,0.06403374233128835,1
Keyence,viability_dead_flag|persistence_dead_flag|sa_outlier_flag,612,0.021278815062063212,0.04693251533742331,3
Keyence,persistence_dead_flag,565,0.019644657696185806,0.043328220858895705,1
Keyence,viability_dead_flag|persistence_dead_flag|focus_flag,496,0.01724557560585515,0.03803680981595092,3
Keyence,sa_outlier_flag|edge_flag,385,0.013386182677931922,0.029524539877300613,2
Keyence,sa_outlier_flag|edge_flag|focus_flag,346,0.012030179757310246,0.026533742331288343,3
Keyence,motion_blur_flag,277,0.009631097666979591,0.021242331288343557,1
Keyence,edge_flag|focus_flag,194,0.00674524529745141,0.014877300613496933,2
Keyence,viability_dead_flag|sa_outlier_flag,193,0.006710475991794444,0.014800613496932515,2
Keyence,viability_dead_flag|sa_outlier_flag|focus_flag,188,0.006536629463509614,0.01441717791411043,3
Keyence,sa_outlier_flag|motion_blur_flag,183,0.006362782935224784,0.014033742331288344,2
Keyence,edge_flag,159,0.005528319599457598,0.012193251533742332,1
Keyence,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|overlapping_mask_flag|focus_flag,144,0.005006780014603108,0.011042944785276074,5
Keyence,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|edge_flag,139,0.004832933486318278,0.010659509202453987,4
Keyence,overlapping_mask_flag,134,0.004659086958033448,0.010276073619631901,1
Keyence,persistence_dead_flag|sa_outlier_flag,120,0.004172316678835924,0.009202453987730062,2
