scope,experiment_id,flag,triggered_timepoint_count,trigger_rate_all_timepoints
Keyence,20260702_hotchem_24hpf_plate02,edge_flag,0,0.0
Keyence,20260702_hotchem_24hpf_plate02,focus_flag,9,0.07692307692307693
Keyence,20260702_hotchem_24hpf_plate02,motion_blur_flag,8,0.06837606837606838
Keyence,20260702_hotchem_24hpf_plate02,overlapping_mask_flag,2,0.017094017094017096
Keyence,20260702_hotchem_24hpf_plate02,persistence_dead_flag,0,0.0
Keyence,20260702_hotchem_24hpf_plate02,sa_outlier_flag,19,0.1623931623931624
Keyence,20260702_hotchem_24hpf_plate02,viability_dead_flag,0,0.0
Keyence,20260702_hotchem_30hpf_plate01,discontinuous_mask_flag,0,0.0
Keyence,20260702_hotchem_30hpf_plate01,edge_flag,3,0.024193548387096774
Keyence,20260702_hotchem_30hpf_plate01,focus_flag,11,0.08870967741935484
Keyence,20260702_hotchem_30hpf_plate01,motion_blur_flag,10,0.08064516129032258
Keyence,20260702_hotchem_30hpf_plate01,overlapping_mask_flag,6,0.04838709677419355
Keyence,20260702_hotchem_30hpf_plate01,persistence_dead_flag,0,0.0
Keyence,20260702_hotchem_30hpf_plate01,sa_outlier_flag,37,0.29838709677419356
Keyence,20260702_hotchem_30hpf_plate01,viability_dead_flag,0,0.0
Keyence,20260702_hotchem_30hpf_plate02,discontinuous_mask_flag,0,0.0
Keyence,20260702_hotchem_30hpf_plate02,edge_flag,1,0.009345794392523364
Keyence,20260702_hotchem_30hpf_plate02,focus_flag,7,0.06542056074766354
Keyence,20260702_hotchem_30hpf_plate02,motion_blur_flag,6,0.056074766355140186
Keyence,20260702_hotchem_30hpf_plate02,overlapping_mask_flag,4,0.037383177570093455
Keyence,20260702_hotchem_30hpf_plate02,persistence_dead_flag,0,0.0
Keyence,20260702_hotchem_30hpf_plate02,sa_outlier_flag,22,0.205607476635514
Keyence,20260702_hotchem_30hpf_plate02,viability_dead_flag,0,0.0
Keyence,20260702_hotchem_36hpf_plate01,discontinuous_mask_flag,0,0.0
Keyence,20260702_hotchem_36hpf_plate01,edge_flag,1,0.009900990099009901
Keyence,20260702_hotchem_36hpf_plate01,focus_flag,3,0.0297029702970297
Keyence,20260702_hotchem_36hpf_plate01,motion_blur_flag,0,0.0
Keyence,20260702_hotchem_36hpf_plate01,overlapping_mask_flag,4,0.039603960396039604
Keyence,20260702_hotchem_36hpf_plate01,persistence_dead_flag,0,0.0
Keyence,20260702_hotchem_36hpf_plate01,sa_outlier_flag,15,0.1485148514851485
Keyence,20260702_hotchem_36hpf_plate01,viability_dead_flag,0,0.0
Keyence,20260702_hotchem_36hpf_plate02,discontinuous_mask_flag,0,0.0
Keyence,20260702_hotchem_36hpf_plate02,edge_flag,0,0.0
Keyence,20260702_hotchem_36hpf_plate02,focus_flag,1,0.010101010101010102
Keyence,20260702_hotchem_36hpf_plate02,motion_blur_flag,1,0.010101010101010102
Keyence,20260702_hotchem_36hpf_plate02,overlapping_mask_flag,4,0.04040404040404041
Keyence,20260702_hotchem_36hpf_plate02,persistence_dead_flag,0,0.0
Keyence,20260702_hotchem_36hpf_plate02,sa_outlier_flag,10,0.10101010101010101
Keyence,20260702_hotchem_36hpf_plate02,viability_dead_flag,0,0.0
YX1,20250501,discontinuous_mask_flag,162,0.0065539283113520514
YX1,20250501,edge_flag,12019,0.4862448418156809
YX1,20250501,focus_flag,20799,0.8414515737519217
YX1,20250501,motion_blur_flag,19,0.0007686706044178331
YX1,20250501,overlapping_mask_flag,440,0.017800792944412978
YX1,20250501,persistence_dead_flag,3950,0.15980257302370743
YX1,20250501,sa_outlier_flag,12051,0.48753944493891094
YX1,20250501,viability_dead_flag,5840,0.23626506998948135
YX1,20250512,discontinuous_mask_flag,164,0.006675078350767227
YX1,20250512,edge_flag,4373,0.17798852212137245
YX1,20250512,focus_flag,13027,0.530221010216126
YX1,20250512,motion_blur_flag,160,0.006512271561724124
YX1,20250512,overlapping_mask_flag,0,0.0
YX1,20250512,persistence_dead_flag,8831,0.35943668850991084
YX1,20250512,sa_outlier_flag,15904,0.6473197932353779
YX1,20250512,viability_dead_flag,8085,0.3290732223533721
YX1,20250515_part2,discontinuous_mask_flag,5,0.0014245014245014246
YX1,20250515_part2,edge_flag,477,0.1358974358974359
YX1,20250515_part2,focus_flag,1070,0.30484330484330485
YX1,20250515_part2,motion_blur_flag,0,0.0
YX1,20250515_part2,overlapping_mask_flag,108,0.03076923076923077
YX1,20250515_part2,persistence_dead_flag,345,0.09829059829059829
YX1,20250515_part2,sa_outlier_flag,1106,0.31509971509971507
YX1,20250515_part2,viability_dead_flag,430,0.1225071225071225
YX1,20250519,discontinuous_mask_flag,14,0.0033500837520938024
YX1,20250519,edge_flag,83,0.019861210815984687
YX1,20250519,focus_flag,216,0.05168700646087581
YX1,20250519,motion_blur_flag,47,0.01124670973917205
YX1,20250519,overlapping_mask_flag,0,0.0
YX1,20250519,persistence_dead_flag,260,0.062215841110313475
YX1,20250519,sa_outlier_flag,1487,0.3558267528116774
YX1,20250519,viability_dead_flag,154,0.03685092127303183
YX1,20250711,discontinuous_mask_flag,361,0.018303503523804696
