"cohort","n_embryos","cell_type","term","estimate"
"atf6 | 24C | 24hpf",10,"cohort_PC1","ependymal cell, spinal cord",-0.641852124887123
"atf6 | 24C | 24hpf",10,"cohort_PC2","ependymal cell, spinal cord",-0.254358526032369
"atf6 | 24C | 24hpf",10,"(Intercept)","ependymoglial cell, central nervous system",-8.3929228623088
"atf6 | 24C | 24hpf",10,"cohort_PC1","ependymoglial cell, central nervous system",-10.3423042108474
"atf6 | 24C | 24hpf",10,"cohort_PC2","ependymoglial cell, central nervous system",-4.59962778023089
"atf6 | 24C | 24hpf",10,"(Intercept)","ependymoglial cell, floor plate",-0.43123642546837
"atf6 | 24C | 24hpf",10,"cohort_PC1","ependymoglial cell, floor plate",1.10130035483272
"atf6 | 24C | 24hpf",10,"cohort_PC2","ependymoglial cell, floor plate",3.36550703373911
"atf6 | 24C | 24hpf",10,"(Intercept)","ependymoglial cell, spinal cord",-1.79583532287047
"atf6 | 24C | 24hpf",10,"cohort_PC1","ependymoglial cell, spinal cord",0.112722899138194
"atf6 | 24C | 24hpf",10,"cohort_PC2","ependymoglial cell, spinal cord",1.6825124844082
"atf6 | 24C | 24hpf",10,"(Intercept)","epidermal cell, enveloping layer of ectoderm (5.5-8 hpf)",-0.568808144361725
"atf6 | 24C | 24hpf",10,"cohort_PC1","epidermal cell, enveloping layer of ectoderm (5.5-8 hpf)",0.51008767807717
"atf6 | 24C | 24hpf",10,"cohort_PC2","epidermal cell, enveloping layer of ectoderm (5.5-8 hpf)",-0.0277817254364228
"atf6 | 24C | 24hpf",10,"(Intercept)","epidermal mucus secreting cell, pharynx",-0.958571227656718
"atf6 | 24C | 24hpf",10,"cohort_PC1","epidermal mucus secreting cell, pharynx",0.277984248439278
"atf6 | 24C | 24hpf",10,"cohort_PC2","epidermal mucus secreting cell, pharynx",0.0604446401862424
"atf6 | 24C | 24hpf",10,"(Intercept)","epithelial cell of distal tubule, distal tubule",1.0753206293355
"atf6 | 24C | 24hpf",10,"cohort_PC1","epithelial cell of distal tubule, distal tubule",-0.0069374763732924
"atf6 | 24C | 24hpf",10,"cohort_PC2","epithelial cell of distal tubule, distal tubule",-0.133204536046914
"atf6 | 24C | 24hpf",10,"(Intercept)","epithelial cell, cloaca",-0.391363950043954
"atf6 | 24C | 24hpf",10,"cohort_PC1","epithelial cell, cloaca",0.284089655729999
"atf6 | 24C | 24hpf",10,"cohort_PC2","epithelial cell, cloaca",1.49135889897529
"atf6 | 24C | 24hpf",10,"(Intercept)","epithelial cell, Kupffer's vesicle",1.64100030774515
"atf6 | 24C | 24hpf",10,"cohort_PC1","epithelial cell, Kupffer's vesicle",-0.468754983817785
"atf6 | 24C | 24hpf",10,"cohort_PC2","epithelial cell, Kupffer's vesicle",-0.752666647623659
"atf6 | 24C | 24hpf",10,"(Intercept)","epithelial cell, median fin fold (includes pectoral)",1.14343485435182
"atf6 | 24C | 24hpf",10,"cohort_PC1","epithelial cell, median fin fold (includes pectoral)",0.533745370113721
"atf6 | 24C | 24hpf",10,"cohort_PC2","epithelial cell, median fin fold (includes pectoral)",0.384924914093775
"atf6 | 24C | 24hpf",10,"(Intercept)","epithelial cell, pharyngeal epithelium",2.30153245058394
"atf6 | 24C | 24hpf",10,"cohort_PC1","epithelial cell, pharyngeal epithelium",0.0892442453513984
"atf6 | 24C | 24hpf",10,"cohort_PC2","epithelial cell, pharyngeal epithelium",-0.654828630911483
"atf6 | 24C | 24hpf",10,"(Intercept)","erythrocyte, blood (primitive)",1.49301018989118
"atf6 | 24C | 24hpf",10,"cohort_PC1","erythrocyte, blood (primitive)",-0.0678586441082593
"atf6 | 24C | 24hpf",10,"cohort_PC2","erythrocyte, blood (primitive)",0.707155754550016
"atf6 | 24C | 24hpf",10,"(Intercept)","erythroid progenitor cell, blood (definitive)",-1.95394819381559
"atf6 | 24C | 24hpf",10,"cohort_PC1","erythroid progenitor cell, blood (definitive)",0.930871943575095
"atf6 | 24C | 24hpf",10,"cohort_PC2","erythroid progenitor cell, blood (definitive)",4.52271475910603
"atf6 | 24C | 24hpf",10,"(Intercept)","erythroid progenitor cell, blood (primitive)",1.35433910585942
"atf6 | 24C | 24hpf",10,"cohort_PC1","erythroid progenitor cell, blood (primitive)",-0.0568493202084875
"atf6 | 24C | 24hpf",10,"cohort_PC2","erythroid progenitor cell, blood (primitive)",0.0585627305685855
"atf6 | 24C | 24hpf",10,"(Intercept)","eye photoreceptor cell, outer nuclear layer of retina",-0.745651448097885
"atf6 | 24C | 24hpf",10,"cohort_PC1","eye photoreceptor cell, outer nuclear layer of retina",-0.683070602082789
"atf6 | 24C | 24hpf",10,"cohort_PC2","eye photoreceptor cell, outer nuclear layer of retina",-0.982986870928221
"atf6 | 24C | 24hpf",10,"(Intercept)","eye photoreceptor cell, outer nuclear layer of retina (cycling)",-0.0244746186160381
"atf6 | 24C | 24hpf",10,"cohort_PC1","eye photoreceptor cell, outer nuclear layer of retina (cycling)",-0.435260631855782
"atf6 | 24C | 24hpf",10,"cohort_PC2","eye photoreceptor cell, outer nuclear layer of retina (cycling)",-0.346906093199064
"atf6 | 24C | 24hpf",10,"(Intercept)","fast muscle cell, fast muscle tissue",1.61628627141444
"atf6 | 24C | 24hpf",10,"cohort_PC1","fast muscle cell, fast muscle tissue",-0.0372409441648446
"atf6 | 24C | 24hpf",10,"cohort_PC2","fast muscle cell, fast muscle tissue",1.30488527942368
"atf6 | 24C | 24hpf",10,"(Intercept)","fast muscle cell, fast muscle tissue (differentiating)",3.64256000074422
"atf6 | 24C | 24hpf",10,"cohort_PC1","fast muscle cell, fast muscle tissue (differentiating)",0.247182901857298
"atf6 | 24C | 24hpf",10,"cohort_PC2","fast muscle cell, fast muscle tissue (differentiating)",-0.526998585520916
"atf6 | 24C | 24hpf",10,"(Intercept)","fast muscle myoblast, fast muscle tissue",3.92021648724174
