experiment_id,sample_n,mean_p05,mean_median,mean_p95,std_p05,std_median,std_p95,min_p05,min_median,min_p95,max_p05,max_median,max_p95,saturated_255_fraction_p05,saturated_255_fraction_median,saturated_255_fraction_p95,zero_fraction_p05,zero_fraction_median,zero_fraction_p95
20250624_chem02_34C_T01_1739,75,24.164772542317706,29.325636121961807,34.03170233832465,33.2939012693858,38.1024269084191,44.50839615573128,0.0,9.0,14.299999999999997,253.7,255.0,255.0,0.0,6.781684027777777e-06,0.00018717447916666663,0.0,0.0,1.96668836805555e-05
20250624_chem02_35C_T00_1216,81,19.618882921006943,26.845296223958332,31.91238064236111,9.601313335556753,36.516603995295085,42.20248862440327,0.0,8.0,15.0,178.0,255.0,255.0,0.0,6.781684027777777e-06,6.781684027777778e-05,0.0,0.0,0.00021701388888888888
20250624_chem02_35C_T01_1711,84,18.042796156141492,25.248009575737846,35.06759168836805,9.051834088167467,38.447949054087715,47.013084219630244,0.0,7.0,15.0,174.75,255.0,255.0,0.0,6.781684027777777e-06,8.5110134548611e-05,0.0,0.0,0.006121148003472218
20250625_chem02_28C_T02_1332,96,18.45077853732639,28.76639133029514,37.43221198187934,10.51873555470915,44.260473104655716,52.30167367589138,0.0,5.0,14.25,192.25,255.0,255.0,0.0,6.781684027777777e-06,5.425347222222222e-05,0.0,0.0,0.00042555067274305556
20250625_chem02_34C_T02_1301,82,21.606731160481772,32.99485609266493,80.81956787109375,28.833094054092264,43.97010389616518,52.86918432481437,0.0,10.5,17.0,222.65,255.0,255.0,0.0,6.781684027777777e-06,0.00018954806857638892,0.0,0.0,3.289116753472228e-05
20250625_chem02_35C_T02_1228,84,13.3345458984375,22.819478352864586,36.59809705946179,13.016635538125081,40.664903781825245,53.00318547484633,0.0,1.0,10.0,197.6,255.0,255.0,0.0,6.781684027777777e-06,0.0005343967013888886,0.0,0.0,0.009477742513020831
20250703_chem3_28C_T00_1325,61,18.926561143663193,23.27178955078125,28.92290581597222,32.7645213757237,36.52884440462716,40.64496821512724,0.0,4.0,9.0,253.0,255.0,255.0,0.0,6.781684027777777e-06,5.425347222222222e-05,0.0,0.0,0.0005289713541666666
20250703_chem3_34C_T00_1131,58,23.41639166937934,27.576812744140625,31.981432427300348,33.308102237620005,36.658549755996404,39.52350056547606,1.0,8.0,13.0,254.0,255.0,255.0,0.0,6.781684027777777e-06,4.7471788194444445e-05,0.0,0.0,0.0
20250703_chem3_34C_T01_1457,59,26.213353814019097,30.46393500434028,33.85982666015625,32.834082516719974,38.18100153548197,41.304735953143116,0.0,11.0,15.0,254.0,255.0,255.0,0.0,6.781684027777777e-06,4.950629340277766e-05,0.0,0.0,7.459852430555516e-06
20250703_chem3_35C_T00_1101,65,19.86450873480903,28.55465359157986,33.15055202907986,4.233294942988291,36.33808762559233,39.14424502995037,6.0,11.0,14.799999999999997,130.0,255.0,255.0,0.0,6.781684027777777e-06,0.000100368923611111,0.0,0.0,0.0
20250703_chem3_35C_T01_1437,58,19.979367065429688,23.54885525173611,29.50301038953993,34.62134770800399,39.43392732244834,42.933500490642366,0.0,5.0,9.149999999999999,254.0,255.0,255.0,0.0,6.781684027777777e-06,5.628797743055553e-05,0.0,0.0,0.001901923285590273
20250711,200,15.498933241102431,34.61719089084201,42.01190083821614,12.822190378786479,53.87106404668587,63.44083449198721,0.0,2.0,9.0,225.0,255.0,255.0,0.0,2.0345052083333332e-05,0.001530287000868054,0.0,0.0,4.781087239583322e-05
20250716_chem4_28C_T00_1158,87,21.292256673177086,26.22540961371528,32.820490180121524,32.119404628789866,36.77137341680481,40.55338303534025,0.0,4.0,12.0,254.0,255.0,255.0,0.0,6.781684027777777e-06,6.781684027777778e-05,0.0,0.0,0.00011800130208333356
20250716_chem4_28C_T01_1400,94,21.462572564019098,27.004007975260414,33.07302212185329,14.621613644897186,37.74907929417107,40.97734957100745,0.0,6.0,13.349999999999994,195.65,255.0,255.0,0.0,6.781684027777777e-06,7.256401909722214e-05,0.0,0.0,4.9845377604166625e-05
20250716_chem4_34C_T00_1014,94,21.625169203016494,29.54309760199653,32.43845723470052,7.16520312046933,37.89377741370549,41.10591941635655,0.0,7.0,13.0,173.65,255.0,255.0,0.0,6.781684027777777e-06,6.340874565972219e-05,0.0,0.0,6.781684027777777e-06
20250716_chem4_35C_T00_1045,91,20.01795111762153,28.593790690104168,32.505330403645836,6.45828411287807,37.84580480223344,40.51870211778679,0.5,6.0,13.5,156.5,255.0,255.0,0.0,6.781684027777777e-06,0.00011189778645833334,0.0,0.0,3.3908420138888887e-06
20250721_chem5_28C_T00_1257,107,19.091668701171876,26.323384602864582,31.570045301649305,7.52340497039419,36.7784307660942,39.51876994267235,0.0,2.0,9.699999999999989,168.4,255.0,255.0,0.0,6.781684027777777e-06,7.459852430555556e-05,0.0,0.0,5.425347222222222e-05
20250721_chem5_28C_T01_1401,107,16.95709431966146,26.587965223524307,31.713315836588542,7.1222515122224905,37.136309275213634,39.936743606644704,0.0,3.0,10.0,161.3,255.0,255.0,0.0,6.781684027777777e-06,8.138020833333333e-05,0.0,0.0,4.3402777777777624e-05
20250721_chem5_35C_T00_1023,108,21.404398600260414,30.06847466362847,32.78734402126736,8.360910271377447,36.75924648849707,39.47366214806574,0.0,5.5,12.0,174.45000000000002,255.0,255.0,0.0,6.781684027777777e-06,5.187988281249994e-05,0.0,0.0,1.7971462673611054e-05
20250912,200,15.248129611545139,19.68880886501736,33.509095933702255,24.24248741828662,35.20868279998952,55.20979052497648,0.0,0.0,0.0,253.0,254.0,255.0,0.0,0.0,0.0004774305555555546,0.0010772705078125001,0.010152180989583332,0.017152235243055557
20251017_part1,200,21.31542460123698,37.60581461588542,42.243020290798604,13.222942592469705,50.92140333379708,56.66246032883742,0.0,1.0,11.0,246.85,255.0,255.0,0.0,3.0517578125e-05,0.0005998399522569435,0.0,0.0,5.425347222222222e-05
20251017_part2,200,20.26427544487847,38.162143283420136,45.79505547417533,11.976939563726196,56.094840439135226,65.78754414246741,0.0,7.0,13.0,209.95,255.0,255.0,0.0,1.3563368055555555e-05,0.0006988525390624998,0.0,0.0,1.3902452256944327e-05
20251020,200,21.868539089626736,25.90765380859375,32.21897549099392,29.970630990589555,39.702375157441985,48.52129075314144,0.0,6.0,11.0,252.95,255.0,255.0,0.0,6.781684027777777e-06,0.0019324408637152756,0.0,0.0,3.424750434027766e-05
20251112,200,20.021153767903648,32.076805962456596,40.11524895562066,17.932821648355052,44.42590847235272,54.196427058560666,0.0,7.0,12.049999999999983,245.9,255.0,255.0,0.0,6.781684027777777e-06,0.0006361219618055537,0.0,0.0,2.0684136284722105e-05
20251119,200,23.25936245388455,25.959672715928818,32.90171712239583,25.86445217194443,32.7106200925825,46.35171964799481,0.0,9.0,13.0,250.95,254.0,255.0,0.0,0.0,8.850097656249989e-05,0.0,0.0,2.0345052083333332e-05
20251121,200,15.903527832031251,31.97048611111111,39.417104763454844,26.225044496194617,54.906823108793745,64.00210431049618,0.0,0.0,0.0,240.9,255.0,255.0,0.0,6.781684027777777e-06,0.0008558485243055551,9.053548177083343e-05,0.012902153862847224,0.017376030815972224
20251125,200,18.3747314453125,27.859290228949654,37.90698784722222,25.52120404751742,43.41344209191085,58.927406026492825,0.0,6.0,11.0,253.0,255.0,255.0,0.0,6.781684027777777e-06,0.0005930582682291656,0.0,0.0,4.781087239583322e-05
20251205,200,20.317435370551216,30.230733235677086,37.33776177300347,27.477692897235325,47.04049302919856,54.076324338895596,0.0,3.0,10.0,252.0,255.0,255.0,0.0,1.3563368055555555e-05,0.0004757351345486108,0.0,0.0,0.0001895480685763867
20251207_pbx,200,25.565534803602432,32.993235270182296,49.07205505371055,40.92141136966067,54.17141911556177,64.28042059790569,0.0,0.0,0.0,238.0,255.0,255.0,0.0,1.3563368055555555e-05,0.0012223985460069393,0.00015597873263888888,0.002231174045138889,0.0038523356119791667
20251212,200,17.26839124891493,27.252733018663193,33.419162326388886,33.76068812370967,44.85977898221741,52.55533379026703,0.0,4.0,10.0,254.0,255.0,255.0,0.0,1.3563368055555555e-05,0.0017066107855902763,0.0,0.0,0.0008144802517361109
20260122,200,20.297056070963542,27.822750515407986,81.72658691406244,14.76774108534639,40.26263651400211,54.777335400381396,0.0,0.0,2.0,185.70000000000002,254.0,255.0,0.0,0.0,0.0002777099609374955,0.0,1.0172526041666666e-05,0.0004547119140624999
20260202,200,14.007772148980035,18.69068060980903,27.698692152235225,26.462296801095285,37.5083015515151,51.287452914938186,0.0,0.0,0.0,250.0,254.0,255.0,0.0,0.0,5.459255642361099e-05,0.00024651421440972227,0.025672064887152776,0.030527411566840273
20260206,200,16.70926242404514,22.497599283854168,28.75365532769097,36.64548517177537,44.46592776821316,54.61648099259862,0.0,1.0,5.0,254.0,255.0,255.0,0.0,1.3563368055555555e-05,0.00015801323784722153,0.0,0.0,0.012128702799479165
