"contrast","arm","n_embryos","n_crispant","n_dropped","n_cell_types","t_observed","t_null_mean","t_null_sd","t_std","p_global","d_shrunk","n_hits_q10","n_hits_q05","max_abs_logfc"
"atf6 vs ctrl | 35C | 36hpf","hinge_z",23,12,1,76,81.3143470000434,75.9993158542065,17.5538641031636,0.302784111498219,0.336331834082959,5.67251995734052,0,0,0.456847458176681
"atf6 vs ctrl | 35C | 36hpf","s_within_control",23,12,1,76,70.8657410165526,75.9731016341106,16.917569923912,-0.301896823274783,0.55272363818091,4.16447067388009,0,0,0.262185803604346
"atf6 vs ctrl | 35C | 36hpf","s_within_crispant",23,12,1,76,90.2223420590234,75.9823400753495,16.2150574301242,0.878196210222417,0.164917541229385,4.38317993445026,0,0,0.944263069187969
"atf6 vs ctrl | 35C | 36hpf","escaper_vs_control",23,12,1,76,106.202421208157,75.9890406342559,17.5973436374037,1.71692848627914,0.0549725137431284,5.77386073033607,1,1,0.698163073994885
"ctcf vs ctrl | 24C | 24hpf","binary_z",20,8,3,43,100.8976827275,43.0038809394355,13.1751796336089,4.39415654268434,0.000999500249875062,5.43042754055372,11,5,0.416979676933301
"ctcf vs ctrl | 24C | 24hpf","s_z",20,8,3,43,78.2747680049804,43.0194117533311,13.3822808834597,2.63448036688757,0.0229885057471264,5.17592048185635,7,1,0.504905498312917
"ctcf vs ctrl | 24C | 24hpf","hinge_z",20,8,3,43,75.0883468963849,43.0164603548578,13.0716443939455,2.4535464379969,0.0224887556221889,5.2465507174145,3,1,0.478744582299763
"ctcf vs ctrl | 24C | 24hpf","s_within_control",20,8,3,43,50.1583279599135,43.0072160718808,11.6301931915229,0.614874729101232,0.233383308345827,4.0871733094642,0,0,0.642621383072506
"ctcf vs ctrl | 24C | 24hpf","s_within_crispant",20,8,3,43,78.1144677292275,42.9872356290202,15.8941387577118,2.21007458382504,0.0444777611194403,3.56533027964462,1,1,0.460670592741944
"ctcf vs ctrl | 24C | 24hpf","severe_vs_control",19,7,3,43,99.4075121653816,43.0071299812765,12.8829050959186,4.37792421539868,0.00149925037481259,5.49842503724741,12,2,0.877068409840568
"ctcf vs ctrl | 24C | 30hpf","binary_z",22,10,2,31,98.0792779038764,30.9960407719504,11.9273156509919,5.62433653094001,0.000499750124937531,5.6653018388597,10,10,0.454255214769405
"ctcf vs ctrl | 24C | 30hpf","s_z",22,10,2,31,60.8874386770568,30.9905508394237,12.7234773708303,2.34974189573161,0.0294852573713143,4.99021695524847,4,3,0.450661125697934
"ctcf vs ctrl | 24C | 30hpf","hinge_z",22,10,2,31,65.3503630484889,30.9887729390534,12.4219550681964,2.76619822892539,0.015992003998001,4.92686223577203,5,5,0.58760434081593
"ctcf vs ctrl | 24C | 30hpf","s_within_control",22,10,2,31,26.3357971428948,31.0388792979336,13.1508751260681,-0.357625033311754,0.559720139930035,3.44821810540286,0,0,0.417342149083187
