"contrast","arm","norm","norm_binary","cosine_to_binary","parallel_component","orthogonal_component"
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","hinge_z",15.8017738391974,19.7281839819024,0.921039092890539,14.5540514429159,6.1543190575484
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","binary_z",10.7595105510142,10.7595105510142,1,10.7595105510142,0
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","s_z",7.47449691085122,10.7595105510142,0.175135849761289,1.30905236802006,7.35897315989843
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","hinge_z",8.53432575875868,10.7595105510142,0.0625112682491111,0.533491526831062,8.51763482120543
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","binary_z",10.5718784458799,10.5718784458799,1,10.5718784458799,0
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","s_z",10.473001483066,10.5718784458799,0.902802607799663,9.4550530504017,4.50396845885843
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","hinge_z",10.2884495509917,10.5718784458799,0.894586539546092,9.20390848111624,4.59785415542279
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","binary_z",13.3127827222034,13.3127827222034,1,13.3127827222034,0
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","s_z",10.5835425734049,13.3127827222034,0.808792867852278,8.55989374998079,6.22411378367336
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","hinge_z",11.0058010923319,13.3127827222034,0.789603075276547,8.69021438838721,6.75335705911075
