"contrast","arm","cell_type","logFC","logCPM","F","p_value","q_value","score_z"
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","retinal progenitor cell, retina",0.177661472163729,15.888170512407,5.16625631323783,0.0234369486023872,0.269370662171879,2.41748158326095
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","retinal progenitor cell, retina (atoh7+)",-0.298177207102868,15.2124045127397,4.18672625893579,0.0412441139106077,0.348141622924662,-1.11343418211398
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","slow muscle cell, slow muscle tissue",-0.0555999342701778,13.2214927488024,0.171603147619541,0.678861771246076,0.893003068694039,-0.453211676034851
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","syncytial cell, yolk sac",0.00895254194943449,12.6926882210002,0.00104444800450552,0.974230918520622,0.985268175841774,-0.00965832247779525
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","syncytial cell, yolk sac (10 hpf)",0.103251841098441,12.3222709314022,0.405189008647246,0.524701626481853,0.839701792171877,0.439872966994394
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","amacrine cell, inner nuclear layer of retina (precursor, includes horizontal precursor)",-0.27989613559463,11.7220098333367,1.26845759328324,0.260236385570861,0.837447489810921,-1.21139438898924
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","ciliated olfactory receptor neuron, olfactory organ",-0.210007615618356,11.6080909592838,1.60032596450421,0.20605351149518,0.837447489810921,-1.46618815718948
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","cranial motor neuron, brain (differentiating)",0.0178770130622146,11.7330352039687,0.0237991321059848,0.877417861149479,0.953715066466825,0.176093618194202
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","dopaminergic neuron, locus coeruleus",-0.0206852879704296,13.4691450935301,0.0821698891234634,0.774417687196135,0.907520727182971,-0.383603155244433
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","ectodermal cell, otic vesicle protrusion",-0.109483894252271,11.8996161842756,0.742676450643767,0.388942605489569,0.872726472042398,-0.820010180708481
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","endodermal cell, pharyngeal pouch",-0.0346785427127694,13.2185138277393,0.149266777594734,0.699291833390069,0.874114791737587,-0.347020784846244
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","endothelial cell, blood vessel endothelium",0.024021685196966,11.8030043231601,0.0401378935467304,0.841238369428776,0.953715066466825,0.231546883411992
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","endothelial cell, lymph vessel endothelium",0.00614160381268273,12.3157682320001,0.00393993016205448,0.949958923433196,0.975080251571485,0.101381297756908
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","ependymal cell, spinal cord",0.193060426525981,12.8092957927351,3.07116172245026,0.0798968048654341,0.554530402016785,1.79410471867529
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","ependymoglial cell, central nervous system",0.0419727826483454,12.8334146243792,0.210782754973005,0.646221100282127,0.874114791737587,0.496810264792742
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","ependymoglial cell, floor plate",-0.00524053084776736,12.1917992787658,0.00336978353782189,0.953716663338773,0.975080251571485,-0.0783801097815968
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","epidermal mucus secreting cell, pharynx",0.0153251506640158,12.3278671199562,0.0169249327902904,0.89650802885059,0.960544316625632,0.134439096184337
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","epithelial cell, median fin fold (includes pectoral)",-0.186188816076024,13.5476852058713,3.09564780474798,0.0787057397134901,0.554530402016785,-1.70869975587084
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","epithelial cell, pharyngeal epithelium",-0.0361376426579677,15.5106107202141,0.282084993549743,0.595416514596932,0.874114791737587,-0.649418762072177
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","eye photoreceptor cell, outer nuclear layer of retina (cycling)",-0.144480927952912,12.4947049721394,0.373940954125,0.540956571560627,0.874114791737587,-0.665924536652957
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","fast muscle cell, fast muscle tissue",-0.0896349315698757,15.1675012870341,1.25923599483126,0.261975348066784,0.837447489810921,-1.23721676045817
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","GABAergic neuron, forebrain",0.121326032771373,14.2394021055069,1.10593068887565,0.293137624160149,0.837447489810921,1.73674548846191
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","GABAergic neuron, tegmentum (midbrain-hindbrain boundary)",-0.0524677199475266,13.6064127810339,0.232157411570881,0.629999023497184,0.874114791737587,-0.702091790485512
