k_lower,dimension,stratum,rows,too_small_rows,eligible_rows,row_recovery_vs_k0.90
0.75,experiment,20260724_hotfish_36hpf_plate01,101,0,92,0
0.75,nominal_stage_bin,18-<24,46905,9877,17664,1041
0.75,nominal_stage_bin,24-<36,107676,36330,38414,2905
0.75,nominal_stage_bin,36-<48,91759,41750,30529,1510
0.75,nominal_stage_bin,48-<72,123516,52585,42399,2719
0.75,nominal_stage_bin,<18,45665,2425,35909,603
0.75,nominal_stage_bin,>=72,115483,32967,29198,953
0.75,nominal_stage_bin,unavailable,898,0,737,0
0.75,genotype_raw,H2B-mScarlet,5460,653,3083,82
0.75,genotype_raw,ab,13478,2188,6731,315
0.75,genotype_raw,ab-ctrl-inj,17,1,16,0
0.75,genotype_raw,ab-lmx1b,32,0,29,0
0.75,genotype_raw,ab_inj_ctrl,4137,1314,805,24
0.75,genotype_raw,atf6,151,5,135,19
0.75,genotype_raw,b9d2_het,203,18,177,2
0.75,genotype_raw,b9d2_heterozygous,37280,7603,15917,641
0.75,genotype_raw,b9d2_homo,94,5,82,1
0.75,genotype_raw,b9d2_homozygous,19055,2501,8528,99
0.75,genotype_raw,b9d2_unknown,18501,6954,3807,140
0.75,genotype_raw,b9d2_wildtype,22078,4723,8321,302
0.75,genotype_raw,b9d2_wt,72,5,64,2
0.75,genotype_raw,cep290_crispant,13589,2421,6537,251
0.75,genotype_raw,cep290_het,301,26,249,4
0.75,genotype_raw,cep290_heterozygous,44838,17737,16006,1043
0.75,genotype_raw,cep290_homo,119,12,95,1
0.75,genotype_raw,cep290_homozygous,20832,4712,10774,153
0.75,genotype_raw,cep290_homozyous,6601,193,4946,52
0.75,genotype_raw,cep290_unknown,35836,17909,8457,692
0.75,genotype_raw,cep290_unkown,16825,11333,2744,100
0.75,genotype_raw,cep290_wildtype,26022,8456,10047,542
0.75,genotype_raw,cep290_wt,147,14,113,0
0.75,genotype_raw,crispr-inj-ctrl,1060,69,346,26
0.75,genotype_raw,crispr-pbx1,3979,816,1512,132
0.75,genotype_raw,crispr-pbx1+4,4880,326,3001,158
0.75,genotype_raw,crispr-pbx4,4841,677,2784,87
0.75,genotype_raw,ctcf,146,3,139,21
0.75,genotype_raw,ctrl-inj,52,1,46,0
0.75,genotype_raw,foxj1a_crispant,2945,1082,947,51
0.75,genotype_raw,gdf3,6313,1195,4388,123
0.75,genotype_raw,if88_ift74_crispant,2698,1070,870,32
0.75,genotype_raw,ift88_crispant,2612,808,1179,96
0.75,genotype_raw,inj-ctrl,1756,80,1439,23
0.75,genotype_raw,irx3a_crispant,1785,182,1444,214
0.75,genotype_raw,irx3a_irx5a_crispant,3313,1550,1271,373
0.75,genotype_raw,irx3a_irx5a_irx6a_crispant,3096,1580,1180,445
0.75,genotype_raw,irx3a_irx6a_crispant,3472,1865,1142,380
0.75,genotype_raw,irx5a_crispant,1836,361,1170,178
0.75,genotype_raw,irx5a_irx6a_crispant,3384,1514,1351,502
0.75,genotype_raw,irx6a_crispant,1758,105,1456,171
0.75,genotype_raw,meox1,25,1,24,0
0.75,genotype_raw,meox1:sox1,26,2,23,1
0.75,genotype_raw,meox1:tbx5a,26,1,21,0
0.75,genotype_raw,nfatc1,8,0,6,0
0.75,genotype_raw,nfatc:gata2a,8,0,8,0
0.75,genotype_raw,pbx1b_crispant,13796,5409,2058,105
0.75,genotype_raw,pbx1b_pbx4_crispant,20347,8377,5727,145
0.75,genotype_raw,pbx4_crispant,13974,5310,3090,94
0.75,genotype_raw,scospondin_crispant,6136,1983,2596,62
0.75,genotype_raw,smad5,24,0,24,0
0.75,genotype_raw,smyda:smydb,25,1,23,0
0.75,genotype_raw,sox10,27,0,23,1
0.75,genotype_raw,sox10:tbx5a,26,2,23,0
0.75,genotype_raw,sspo_crispant,36,0,34,0
0.75,genotype_raw,tbx2b,18,2,14,1
0.75,genotype_raw,tbx2b:tbx2a,16,0,15,0
0.75,genotype_raw,tbx5a,25,1,23,0
0.75,genotype_raw,tbx6,25,1,21,0
0.75,genotype_raw,tbxta,8,0,8,0
0.75,genotype_raw,tfap2a_cispant,2205,371,680,36
0.75,genotype_raw,tfap2a_crispant,1390,832,156,4
0.75,genotype_raw,tfap2a_tfap2b_cispant,1260,183,338,9
0.75,genotype_raw,tfap2a_tfap2b_crispant,1598,1176,145,0
0.75,genotype_raw,tfap2a_tfap2c_crispant,5765,3826,424,38
0.75,genotype_raw,tfap2a_tfap2d_crispant,3215,2267,261,9
0.75,genotype_raw,tfap2a_tfap2e_crispant,4937,2701,418,2
0.75,genotype_raw,tfap2b_crispant,1365,208,393,11
0.75,genotype_raw,tfap2b_tfap2c_crispant,3496,1997,304,21
0.75,genotype_raw,tfap2b_tfap2d_crispant,5418,3197,619,32
