dimension,stratum,rows,physical_embryos,too_small_rows,too_large_rows,sa_outlier_rows,isolated_sa_only_rows,current_use_snip_rows,sa_outlier_rate,too_small_rate
chem_perturbation_raw,tri_0,1582,14,1009,158,1167,138,126,0.7376738305941846,0.6378002528445006
chem_perturbation_raw,tri_1-15,1469,13,1134,0,1134,10,246,0.7719537100068073,0.7719537100068073
chem_perturbation_raw,tri_1-20,2486,22,1944,1,1945,18,333,0.7823813354786806,0.7819790828640386
chem_perturbation_raw,tri_1-25,2471,22,1543,16,1559,188,478,0.6309186564144071,0.6244435451234318
chem_perturbation_raw,tri_1-30,2481,22,1631,46,1677,225,500,0.6759371221281741,0.6573962112051592
chem_perturbation_raw,tri_1-35,2711,24,1960,1,1961,59,552,0.7233493175949834,0.7229804500184434
chem_perturbation_raw,tri_1-40,2372,21,1531,16,1547,46,543,0.6521922428330523,0.6454468802698144
chem_perturbation_raw,unavailable,502588,7330,198497,26954,225451,50417,175511,0.4485801491480099,0.39494974014500944
chem_perturbation_raw,wnt_i_11,26,26,2,0,2,0,24,0.07692307692307693,0.07692307692307693
chem_perturbation_raw,wnt_i_12,25,25,1,0,1,0,24,0.04,0.04
chem_perturbation_raw,wnt_i_13,225,225,63,2,65,32,150,0.28888888888888886,0.28
chem_perturbation_raw,wnt_i_13_13,9,9,2,0,2,1,6,0.2222222222222222,0.2222222222222222
chem_perturbation_raw,wnt_i_14,24,24,0,0,0,0,24,0.0,0.0
control_status_raw,unavailable,531902,10431,212778,28495,241273,52637,185204,0.4536042353666653,0.40003233678384365
incubation_temperature_raw,19.0,50,50,16,0,16,16,33,0.32,0.32
incubation_temperature_raw,22.0,44097,1188,13578,2095,15673,4632,23149,0.35542100369639656,0.3079121028641404
incubation_temperature_raw,24.0,264,264,95,7,102,82,150,0.38636363636363635,0.35984848484848486
incubation_temperature_raw,25.0,25,25,2,0,2,1,22,0.08,0.08
incubation_temperature_raw,28.0,569,569,65,6,71,23,475,0.12478031634446397,0.11423550087873462
incubation_temperature_raw,28.5,21966,2128,10580,200,10780,3016,9300,0.49075844486934356,0.4816534644450514
incubation_temperature_raw,30.0,462687,3963,188112,26147,214259,44728,150351,0.4630754700261732,0.40656426482697805
incubation_temperature_raw,32.0,190,190,6,3,9,3,173,0.04736842105263158,0.031578947368421054
incubation_temperature_raw,33.5,27,27,3,0,3,1,22,0.1111111111111111,0.1111111111111111
incubation_temperature_raw,34.0,794,794,135,17,152,64,581,0.19143576826196473,0.17002518891687657
incubation_temperature_raw,34.2,89,89,0,0,0,0,87,0.0,0.0
incubation_temperature_raw,34.4,9,9,0,0,0,0,7,0.0,0.0
incubation_temperature_raw,35.0,777,777,186,20,206,71,540,0.2651222651222651,0.23938223938223938
incubation_temperature_raw,35.1,50,50,0,0,0,0,48,0.0,0.0
incubation_temperature_raw,unavailable,308,308,0,0,0,0,266,0.0,0.0
source_scope,unavailable,531902,10431,212778,28495,241273,52637,185204,0.4536042353666653,0.40003233678384365
calibration_status,unavailable,531902,10431,212778,28495,241273,52637,185204,0.4536042353666653,0.40003233678384365
calibration_method,unavailable,531902,10431,212778,28495,241273,52637,185204,0.4536042353666653,0.40003233678384365
image_micrometers_per_pixel,1.8872088541666665,97,97,1,1,2,1,93,0.020618556701030927,0.010309278350515464
image_micrometers_per_pixel,3.230785403120142,20219,381,10366,109,10475,2860,8001,0.5180770562342352,0.5126860873435877
image_micrometers_per_pixel,unavailable,511586,9953,202411,28385,230796,49776,177110,0.45113822504916085,0.3956539076518904
segmentation_backend,sam2_video,20316,478,10367,110,10477,2861,8094,0.5157019098247686,0.5102874581610554
segmentation_backend,unavailable,511586,9953,202411,28385,230796,49776,177110,0.45113822504916085,0.3956539076518904
segmentation_model,sam2.1_hiera_s,20316,478,10367,110,10477,2861,8094,0.5157019098247686,0.5102874581610554
segmentation_model,unavailable,511586,9953,202411,28385,230796,49776,177110,0.45113822504916085,0.3956539076518904
snapshot_time_series_declared,unavailable,531902,10431,212778,28495,241273,52637,185204,0.4536042353666653,0.40003233678384365
observed_track_cardinality,multi_observation_track,526097,4626,211971,28329,240300,52184,180767,0.45675987508007077,0.40291239068080603
observed_track_cardinality,single_observation_track,5805,5805,807,166,973,453,4437,0.16761412575366064,0.13901808785529715
surface_qc_applicability,exclusion,531004,9533,212778,28495,241273,52637,184467,0.4543713418354664,0.40070884588440014
surface_qc_applicability,not_applicable,898,898,0,0,0,0,737,0.0,0.0
shape_class_diagnostic,compact,250345,6400,137146,24212,161358,40241,60095,0.6445425313067966,0.5478279973636382
shape_class_diagnostic,elongated_or_thin,281557,7092,75632,4283,79915,12396,125109,0.2838324033854601,0.2686205635093427
