policy,dimension,stratum,rows,eligible_rows,row_recovery_vs_strict,row_loss_vs_strict
strict_exclusion_k0.90,genotype_raw,tfap2a_tfap2e_crispant,4937,416,0,0
strict_exclusion_k0.90,genotype_raw,tfap2b_crispant,1365,382,0,0
strict_exclusion_k0.90,genotype_raw,tfap2b_tfap2c_crispant,3496,283,0,0
strict_exclusion_k0.90,genotype_raw,tfap2b_tfap2d_crispant,5418,587,0,0
strict_exclusion_k0.90,genotype_raw,tfap2c_crispant,1365,284,0,0
strict_exclusion_k0.90,genotype_raw,tfap2d_crispant,840,211,0,0
strict_exclusion_k0.90,genotype_raw,tfap2e_crispant,1239,329,0,0
strict_exclusion_k0.90,genotype_raw,tmem67_heterozygote,6802,3985,0,0
strict_exclusion_k0.90,genotype_raw,tmem67_heterozygous,9466,4073,0,0
strict_exclusion_k0.90,genotype_raw,tmem67_homozygous,13286,8027,0,0
strict_exclusion_k0.90,genotype_raw,tmem67_unknown,228,31,0,0
strict_exclusion_k0.90,genotype_raw,tmem67_wildtype,13651,4872,0,0
strict_exclusion_k0.90,genotype_raw,unavailable,327,178,0,0
strict_exclusion_k0.90,genotype_raw,uncertain,31,16,0,0
strict_exclusion_k0.90,genotype_raw,wfs1a-wfs1b,144,116,0,0
strict_exclusion_k0.90,genotype_raw,wik,31861,15466,0,0
strict_exclusion_k0.90,genotype_raw,wik-ab,24223,3730,0,0
strict_exclusion_k0.90,genotype_raw,wik-ab_inj_ctrl,7620,1022,0,0
strict_exclusion_k0.90,chem_perturbation_raw,DMSO_6,279,223,0,0
strict_exclusion_k0.90,chem_perturbation_raw,Fgf_025,1032,628,0,0
strict_exclusion_k0.90,chem_perturbation_raw,Fgf_050,905,263,0,0
strict_exclusion_k0.90,chem_perturbation_raw,Fgf_075,1376,664,0,0
strict_exclusion_k0.90,chem_perturbation_raw,Fgf_100,2153,889,0,0
strict_exclusion_k0.90,chem_perturbation_raw,Fgf_150,1214,271,0,0
strict_exclusion_k0.90,chem_perturbation_raw,Shh_025,442,186,0,0
strict_exclusion_k0.90,chem_perturbation_raw,Shh_050,1035,485,0,0
strict_exclusion_k0.90,chem_perturbation_raw,Shh_075,974,521,0,0
strict_exclusion_k0.90,chem_perturbation_raw,Shh_100,797,560,0,0
strict_exclusion_k0.90,chem_perturbation_raw,bmp_i_11,26,23,0,0
strict_exclusion_k0.90,chem_perturbation_raw,bmp_i_12,25,23,0,0
strict_exclusion_k0.90,chem_perturbation_raw,bmp_i_13,225,150,0,0
strict_exclusion_k0.90,chem_perturbation_raw,bmp_i_13_13,9,8,0,0
strict_exclusion_k0.90,chem_perturbation_raw,bmp_i_14,31,21,0,0
strict_exclusion_k0.90,chem_perturbation_raw,dmso,211,182,0,0
strict_exclusion_k0.90,chem_perturbation_raw,ethanol_ctrl,1061,486,0,0
strict_exclusion_k0.90,chem_perturbation_raw,fgf_i_13,113,29,0,0
strict_exclusion_k0.90,chem_perturbation_raw,hsp90,216,178,0,0
strict_exclusion_k0.90,chem_perturbation_raw,hsp90_i_6,188,127,0,0
strict_exclusion_k0.90,chem_perturbation_raw,mTOR_i_6,183,106,0,0
strict_exclusion_k0.90,chem_perturbation_raw,mTor,225,151,0,0
strict_exclusion_k0.90,chem_perturbation_raw,nfkb_i_6,86,43,0,0
strict_exclusion_k0.90,chem_perturbation_raw,notch_i_6,72,49,0,0
strict_exclusion_k0.90,chem_perturbation_raw,pi3k_hi_i_6,43,36,0,0
strict_exclusion_k0.90,chem_perturbation_raw,pi3k_i_6,8,0,0,0
strict_exclusion_k0.90,chem_perturbation_raw,pi3k_lo_i_6,44,32,0,0
strict_exclusion_k0.90,chem_perturbation_raw,ra_hi_i_6,44,40,0,0
strict_exclusion_k0.90,chem_perturbation_raw,ra_i_6,70,42,0,0
strict_exclusion_k0.90,chem_perturbation_raw,ra_lo_i_6,43,41,0,0
strict_exclusion_k0.90,chem_perturbation_raw,shh_i_6,113,92,0,0
strict_exclusion_k0.90,chem_perturbation_raw,sphase_i_13,37,25,0,0
strict_exclusion_k0.90,chem_perturbation_raw,tgfb_hi_i_6,43,39,0,0
strict_exclusion_k0.90,chem_perturbation_raw,tgfb_i_13,70,36,0,0
strict_exclusion_k0.90,chem_perturbation_raw,tgfb_lo_i_6,40,38,0,0
strict_exclusion_k0.90,chem_perturbation_raw,tri_0,1582,126,0,0
strict_exclusion_k0.90,chem_perturbation_raw,tri_1-15,1469,246,0,0
strict_exclusion_k0.90,chem_perturbation_raw,tri_1-20,2486,333,0,0
strict_exclusion_k0.90,chem_perturbation_raw,tri_1-25,2471,478,0,0
