policy,stratum,stratum_value,row_count,excluded_rows,physical_embryo_count,excluded_physical_embryos
candidate_aspect_rescue_v1,segmentation_backend,sam2_image_precomputed,1752,113,1752,113
candidate_aspect_rescue_v1,acquisition_mode,snapshot,1752,113,1752,113
candidate_aspect_rescue_v1,surface_area_qc_applicability,diagnostic_only,1752,113,1752,113
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM13_shard001,96,2,96,2
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM13_shard002,88,0,88,0
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM15_shard001,96,5,96,5
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM15_shard002,96,1,96,1
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM15_shard003,96,0,96,0
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM15_shard004,96,0,96,0
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM15_shard005,48,5,48,5
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM16_shard001,96,27,96,27
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM16_shard002,96,15,96,15
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM16_shard003,96,12,96,12
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM16_shard004,96,0,96,0
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM16_shard005,96,3,96,3
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM16_shard006,96,0,96,0
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM16_shard007,48,0,48,0
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM17_shard001,96,0,96,0
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM17_shard002,96,4,96,4
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_CHEM17_shard003,32,0,32,0
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_GENE10_shard001,96,3,96,3
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_GENE10_shard002,96,0,96,0
candidate_aspect_circularity_v1,experiment_id,20260804_seahub_GENE10_shard003,96,0,96,0
candidate_aspect_circularity_v1,stage_bin,60-72,296,2,296,2
candidate_aspect_circularity_v1,stage_bin,>72,168,5,168,5
candidate_aspect_circularity_v1,stage_bin,<18,400,35,400,35
candidate_aspect_circularity_v1,stage_bin,18-24,376,28,376,28
