k_lower,stratum,stratum_value,row_count,flagged_rows,recovered_rows_vs_production,physical_embryo_count,flagged_physical_embryos
0.85,genotype,"zeb2a,zeb2b",16,0,0,16,0
0.85,genotype,zeb2b,16,0,0,16,0
0.85,genotype,"meis1a,1b",8,0,0,8,0
0.85,genotype,"meis2a,2b",8,0,0,8,0
0.85,genotype,meis1a,8,0,0,8,0
0.85,genotype,meis1b,8,0,0,8,0
0.85,genotype,meis2a,8,0,0,8,0
0.85,genotype,meis2b,8,0,0,8,0
0.85,chem_perturbation,ctrl,40,5,10,40,5
0.85,chem_perturbation,DMH1,32,5,7,32,5
0.85,chem_perturbation,LY411575,32,2,13,32,2
0.85,chem_perturbation,SB505124,40,5,7,40,5
0.85,chem_perturbation,SU5402,40,7,12,40,7
0.85,chem_perturbation,2-DG,32,0,0,32,0
0.85,chem_perturbation,DMSO,96,2,6,96,2
0.85,chem_perturbation,leflunomide,32,0,1,32,0
0.85,chem_perturbation,LY294002,40,4,0,40,4
0.85,chem_perturbation,oligomycin,32,1,0,32,1
0.85,chem_perturbation,ruxolitibin,8,2,1,8,2
0.85,chem_perturbation,simvastatin,32,0,0,32,0
0.85,chem_perturbation,GNE-7883,32,0,0,32,0
0.85,chem_perturbation,ruxolitinib,24,0,0,24,0
0.85,chem_perturbation,SU6656,32,3,0,32,3
0.85,chem_perturbation,DMSO_24hpf,24,1,1,24,1
0.85,chem_perturbation,leflunomide_24hpf,24,0,0,24,0
0.85,chem_perturbation,oligomycin_24hpf,8,0,0,8,0
0.85,chem_perturbation,simvastatin_24hpf,16,0,0,16,0
0.85,chem_perturbation,2-DG_24hpf,24,0,1,24,0
0.85,chem_perturbation,rapamycin,24,2,1,24,2
0.85,chem_perturbation,control_24C,56,0,0,56,0
0.85,chem_perturbation,treatment_24C,56,3,5,56,3
0.85,chem_perturbation,control_28C,56,9,6,56,9
0.85,chem_perturbation,treatment_28C,56,31,4,56,31
0.85,chem_perturbation,control_34C,56,1,0,56,1
0.85,chem_perturbation,treatment_34C,56,32,0,56,32
0.85,chem_perturbation,treatment_28C_14hpf_wash,24,0,0,24,0
0.85,chem_perturbation,control_at_24hpf_28C,72,3,0,72,3
0.85,chem_perturbation,treatment_at_24hpf_28C,72,4,4,72,4
0.85,chem_perturbation,treatment_14hpf_wash_28C,24,0,0,24,0
0.85,chem_perturbation,treatment_24hpf_wash_28C,24,0,0,24,0
0.85,chem_perturbation,treatment_at_30hpf_28C,48,3,9,48,3
0.85,chem_perturbation,treatment_at_48hpf_28C,24,0,3,24,0
0.85,chem_perturbation,CP-673451,48,0,0,48,0
0.85,chem_perturbation,AG1478,48,0,0,48,0
0.85,chem_perturbation,VRI,48,0,0,48,0
0.85,chem_perturbation,BGJ398,32,4,0,32,4
0.85,chem_perturbation,<missing>,288,0,3,288,0
0.85,perturbation_domain,chemical,1464,129,91,1464,129
