scope,corpus_dataset_id,gross_embryos,observed_unique_physical_embryos,gross_embryo_timepoints,gross_embryo_z_observations,observed_snip_timepoints,observed_valid_snip_timepoints,qc_evaluated_timepoints,confirmed_usable_timepoints,projected_usable_timepoints,projected_usable_z_observations,pipeline_experiment_count,well_count,exact_well_count,perturbation_condition_count,stage_min_hpf,stage_max_hpf,frame_inventory_fraction,detected_fraction,sequencing_link_fraction,project_name,z_expansion_factor,qc_coverage_fraction,confirmed_retention_rate
Keyence,20260331_b9d2_18hpf_plate01,96.0,0,96.0,1344.0,0,0,0,0,52.46681922196796,734.5354691075515,1,96,95,2,18.0,18.0,0.9895833333333334,0.0,,B9D2,14.0,0.0,
Keyence,20260331_b9d2_18hpf_plate02,105.0,70,105.0,1470.0,70,70,70,45,64.12852784134249,897.7993897787948,1,96,64,2,18.0,18.0,0.6666666666666666,0.6354166666666666,,B9D2,14.0,0.6666666666666666,0.6428571428571429
Keyence,20260414_b9d2_14hpf_plate01,107.0,107,107.0,1498.0,107,107,107,97,97.0,1358.0,1,96,96,2,14.0,14.0,1.0,1.0,,B9D2,14.0,1.0,0.9065420560747663
Keyence,20260414_b9d2_14hpf_plate02,96.0,0,96.0,1344.0,0,0,0,0,52.46681922196796,734.5354691075515,1,96,63,2,14.0,14.0,0.65625,0.0,,B9D2,14.0,0.0,
Keyence,20260414_b9d2_30hpf_plate01,106.0,106,106.0,1484.0,106,106,106,93,93.0,1302.0,1,96,96,2,30.0,30.0,1.0,1.0,,B9D2,14.0,1.0,0.8773584905660378
Keyence,20260414_b9d2_30hpf_plate02,107.0,72,107.0,1498.0,72,72,72,59,78.12852784134249,1093.7993897787949,1,96,64,2,30.0,30.0,0.6666666666666666,0.6354166666666666,,B9D2,14.0,0.6728971962616822,0.8194444444444444
Keyence,20260415_b9d2_30to48hpf_plate01_t02,109.0,109,109.0,1526.0,109,109,109,91,91.0,1274.0,1,96,96,2,48.0,48.0,1.0,1.0,,B9D2,14.0,1.0,0.8348623853211009
Keyence,20260415_b9d2_30to48hpf_plate02_t02,103.0,58,103.0,1442.0,58,58,58,42,66.59382151029749,932.3135011441648,1,96,64,2,48.0,48.0,0.6666666666666666,0.53125,,B9D2,14.0,0.5631067961165048,0.7241379310344828
Keyence,20260415_cep290_18hpf_plate03,115.0,81,115.0,1610.0,81,81,81,42,60.58199847444698,848.1479786422578,1,96,64,2,18.0,18.0,0.6666666666666666,0.6458333333333334,,CEP290,14.0,0.7043478260869566,0.5185185185185185
Keyence,20260415_cep290_30to48hpf_plate02_t01,96.0,0,96.0,1344.0,0,0,0,0,52.46681922196796,734.5354691075515,1,96,96,2,30.0,30.0,1.0,0.0,,CEP290,14.0,0.0,
Keyence,20260416_cep290_30to48hpf_plate01_t02,96.0,0,96.0,1345.0,0,0,0,0,52.46681922196796,735.081998474447,1,96,96,1,,,1.0,0.0,,CEP290,14.010416666666666,0.0,
Keyence,20260416_cep290_30to48hpf_plate02_t02,62.0,0,62.0,868.0,0,0,0,0,33.884820747520976,474.38749046529364,1,62,62,1,,,1.0,0.0,,CEP290,14.0,0.0,
Keyence,20260702_hotchem_24hpf_plate01,104.0,104,104.0,1456.0,104,104,104,89,89.0,1246.0,1,96,96,9,24.71,25.25,1.0,1.0,,Chemical perturbation,14.0,1.0,0.8557692307692307
Keyence,20260702_hotchem_24hpf_plate02,117.0,117,117.0,1638.0,117,117,117,94,94.0,1316.0,1,96,96,6,25.33333333333334,25.54333333333334,1.0,1.0,,Chemical perturbation,14.0,1.0,0.8034188034188035
Keyence,20260702_hotchem_30hpf_plate01,125.0,124,125.0,1750.0,124,124,124,79,79.5465293668955,1113.651411136537,1,96,96,9,30.84333333333333,31.38333333333333,1.0,0.9895833333333334,,Chemical perturbation,14.0,0.992,0.6370967741935484
Keyence,20260702_hotchem_30hpf_plate02,111.0,107,111.0,1554.0,107,107,107,78,80.186117467582,1122.605644546148,1,96,96,6,31.66333333333334,31.87333333333333,1.0,0.9583333333333334,,Chemical perturbation,14.0,0.963963963963964,0.7289719626168224
Keyence,20260702_hotchem_36hpf_plate01,101.0,101,101.0,1414.0,101,101,101,84,84.0,1176.0,1,96,96,9,36.34333333333333,36.88333333333333,1.0,1.0,,Chemical perturbation,14.0,1.0,0.8316831683168316
Keyence,20260702_hotchem_36hpf_plate02,99.0,99,99.0,1386.0,99,99,99,87,87.0,1218.0,1,96,96,6,37.00333333333334,37.21333333333334,1.0,1.0,,Chemical perturbation,14.0,1.0,0.8787878787878788
SeaHub,CHEM13,200.0,184,200.0,200.0,184,0,0,0,197.84102060843963,197.84102060843963,2,200,184,5,72.0,96.0,0.92,0.92,0.8,SeaHub chemical,1.0,0.0,
SeaHub,CHEM15,432.0,432,432.0,432.0,432,0,0,0,427.33660451422963,427.33660451422963,5,432,432,15,14.0,96.0,1.0,1.0,0.5185185185185185,SeaHub chemical,1.0,0.0,
SeaHub,CHEM16,624.0,624,624.0,624.0,288,0,0,0,617.2639842983317,617.2639842983317,7,624,624,10,14.0,72.0,1.0,1.0,0.0,SeaHub chemical,1.0,0.0,
SeaHub,CHEM17,224.0,224,224.0,224.0,0,0,0,0,221.5819430814524,221.5819430814524,3,224,224,5,14.0,72.0,1.0,1.0,0.5714285714285714,SeaHub chemical,1.0,0.0,
SeaHub,GENE1,24.0,24,24.0,24.0,0,0,0,0,23.74092247301276,23.74092247301276,1,24,24,3,72.0,72.0,1.0,1.0,1.0,SeaHub genetic,1.0,0.0,
SeaHub,GENE10,720.0,720,720.0,720.0,0,0,0,0,712.2276741903827,712.2276741903827,8,720,720,21,14.0,72.0,1.0,1.0,0.6777777777777778,SeaHub genetic,1.0,0.0,
SeaHub,GENE11,176.0,176,176.0,176.0,0,0,0,0,174.1000981354269,174.1000981354269,2,176,176,7,36.0,72.0,1.0,1.0,0.4090909090909091,SeaHub genetic,1.0,0.0,
SeaHub,GENE12,704.0,696,704.0,704.0,0,0,0,0,696.4003925417076,696.4003925417076,8,704,696,19,14.0,72.0,0.9886363636363636,0.9886363636363636,0.6477272727272727,SeaHub genetic,1.0,0.0,
SeaHub,GENE13,576.0,576,576.0,576.0,0,0,0,0,569.7821393523062,569.7821393523062,6,576,576,16,24.0,96.0,1.0,1.0,0.8333333333333334,SeaHub genetic,1.0,0.0,
