scope,perturbation_domain,atomic_perturbation,corpus_dataset_count,well_count,gross_embryos,observed_unique_physical_embryos,gross_embryo_timepoints,gross_embryo_z_observations,confirmed_usable_timepoints,projected_usable_timepoints,projected_usable_z_observations
SeaHub,genetic,otx2b,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,pax1a,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,pax1b,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,pax2a,1,72,72.0,56,72.0,72.0,0,71.22276741903828,71.22276741903828
SeaHub,genetic,pax3a,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,pax3b,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,pax6a,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,pax6b,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,pax7a,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,genetic,pax7b,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,genetic,pax8,1,88,88.0,64,88.0,88.0,0,87.05004906771345,87.05004906771345
SeaHub,genetic,pax9,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,pbx1b,2,128,128.0,128,128.0,128.0,0,126.61825318940137,126.61825318940137
SeaHub,genetic,pbx4,2,128,128.0,128,128.0,128.0,0,126.61825318940137,126.61825318940137
SeaHub,genetic,pitx3,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,genetic,prdm1a,1,40,40.0,40,40.0,40.0,0,39.56820412168793,39.56820412168793
SeaHub,genetic,prox1a,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,ret,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,rfx1a,1,56,56.0,56,56.0,56.0,0,55.3954857703631,55.3954857703631
SeaHub,genetic,rfx1b,1,56,56.0,56,56.0,56.0,0,55.3954857703631,55.3954857703631
SeaHub,genetic,rfx2,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,rfx3,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,genetic,runx1,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,runx2b,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,runx3,1,72,72.0,72,72.0,72.0,0,71.22276741903828,71.22276741903828
SeaHub,genetic,shox,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,shox2,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,six1a,1,72,72.0,72,72.0,72.0,0,71.22276741903828,71.22276741903828
SeaHub,genetic,six1b,1,72,72.0,72,72.0,72.0,0,71.22276741903828,71.22276741903828
SeaHub,genetic,smo,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,snai1a,1,128,128.0,128,128.0,128.0,0,126.61825318940137,126.61825318940137
SeaHub,genetic,snai1b,1,128,128.0,128,128.0,128.0,0,126.61825318940137,126.61825318940137
SeaHub,genetic,snai2,1,96,96.0,96,96.0,96.0,0,94.96368989205104,94.96368989205104
SeaHub,genetic,snai3,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,sox10,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,sox17,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,sox19a,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,sox19b,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,sox2,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,sox3,1,56,56.0,48,56.0,56.0,0,55.3954857703631,55.3954857703631
SeaHub,genetic,sox32,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,spi1a,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,spi1b,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,srfa,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,tbx15,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,genetic,tbx16,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,tbx16l,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,tbx3a,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,tbx3b,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,tbx5a,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
