contrast,target,temperature,timepoint,shared_dim,loading
ctcf vs ctrl | 35C | 24hpf,ctcf,35.0,24.0,G04,-0.4077329879679977
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","wfs1a,wfs1b",35.0,24.0,G00,-0.6029306396541586
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","wfs1a,wfs1b",35.0,24.0,G01,0.5336443205564126
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","wfs1a,wfs1b",35.0,24.0,G02,-0.07963052926981772
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","wfs1a,wfs1b",35.0,24.0,G03,-0.4872215421352685
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","wfs1a,wfs1b",35.0,24.0,G04,0.3285917384713916
atf6 vs ctrl | 35C | 30hpf,atf6,35.0,30.0,G00,0.796532213988934
atf6 vs ctrl | 35C | 30hpf,atf6,35.0,30.0,G01,0.5441904527900668
atf6 vs ctrl | 35C | 30hpf,atf6,35.0,30.0,G02,-0.06580758743612562
atf6 vs ctrl | 35C | 30hpf,atf6,35.0,30.0,G03,0.07371426970542654
atf6 vs ctrl | 35C | 30hpf,atf6,35.0,30.0,G04,0.2441899896549026
ctcf vs ctrl | 35C | 30hpf,ctcf,35.0,30.0,G00,0.5310870135911079
ctcf vs ctrl | 35C | 30hpf,ctcf,35.0,30.0,G01,0.6941130196176808
ctcf vs ctrl | 35C | 30hpf,ctcf,35.0,30.0,G02,0.15929418284405877
ctcf vs ctrl | 35C | 30hpf,ctcf,35.0,30.0,G03,0.4185425592298495
ctcf vs ctrl | 35C | 30hpf,ctcf,35.0,30.0,G04,0.1886827745648098
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","wfs1a,wfs1b",35.0,30.0,G00,0.6780388989104793
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","wfs1a,wfs1b",35.0,30.0,G01,0.4975416419175654
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","wfs1a,wfs1b",35.0,30.0,G02,0.23316860974907397
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","wfs1a,wfs1b",35.0,30.0,G03,0.4764203472752734
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","wfs1a,wfs1b",35.0,30.0,G04,0.10663778998099069
atf6 vs ctrl | 35C | 36hpf,atf6,35.0,36.0,G00,0.28905944312103843
atf6 vs ctrl | 35C | 36hpf,atf6,35.0,36.0,G01,0.9376029144285828
atf6 vs ctrl | 35C | 36hpf,atf6,35.0,36.0,G02,0.09446718248810639
atf6 vs ctrl | 35C | 36hpf,atf6,35.0,36.0,G03,-0.12644400586983598
atf6 vs ctrl | 35C | 36hpf,atf6,35.0,36.0,G04,0.11150460981470928
ctcf vs ctrl | 35C | 36hpf,ctcf,35.0,36.0,G00,0.4424420537396038
ctcf vs ctrl | 35C | 36hpf,ctcf,35.0,36.0,G01,0.5663182697026454
ctcf vs ctrl | 35C | 36hpf,ctcf,35.0,36.0,G02,0.003273211546198109
ctcf vs ctrl | 35C | 36hpf,ctcf,35.0,36.0,G03,0.3426453142873651
ctcf vs ctrl | 35C | 36hpf,ctcf,35.0,36.0,G04,-0.6050719966803703
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","wfs1a,wfs1b",35.0,36.0,G00,0.46768430114170517
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","wfs1a,wfs1b",35.0,36.0,G01,0.2597848085254981
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","wfs1a,wfs1b",35.0,36.0,G02,0.4234286064632052
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","wfs1a,wfs1b",35.0,36.0,G03,0.6456223625670371
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","wfs1a,wfs1b",35.0,36.0,G04,-0.34302073976211805
