stage,region,n_images,n_pixels,mean,p50,p95,p99,fraction_ge_245,fraction_ge_250,fraction_eq_255
legacy_reblend_r20,all,93,13713408,27.69473671314964,10,162,232,0.003933960106780167,0.0018644526583034649,0.000488500014000896
legacy_reblend_r20,core_ge_8px,93,1669433,135.97498671704705,138,240,251,0.03189346322973129,0.015173415165508288,0.0039887794239121905
legacy_reblend_r20,fixed_gt30,93,2113362,124.5384056304599,118,237,250,0.025527098528316493,0.012098258604063099,0.00316983081932958
legacy_reblend_r20,mask,93,2190031,117.08663575995043,113,236,250,0.02463344126179036,0.011674720586146953,0.0030588608106460594
legacy_reblend_r30,all,93,13713408,27.59936042156698,10,161,232,0.0036680160030241934,0.001708838532332736,0.0004332256431078256
legacy_reblend_r30,core_ge_8px,93,1669433,135.49788161609362,138,239,251,0.030105431005616877,0.014031710167464044,0.0035580942751221524
legacy_reblend_r30,fixed_gt30,93,2108032,123.70783745218289,117,236,250,0.02386159223389398,0.011116529540348533,0.002818268413382719
legacy_reblend_r30,mask,93,2190031,115.8539162231037,112,236,250,0.0229681680304982,0.010700305155497799,0.002712746988512948
legacy_reblend_r40,all,93,13713408,27.43355400787317,10,159,230,0.003174119810334528,0.0013834635416666667,0.0003082384772625448
legacy_reblend_r40,core_ge_8px,93,1669433,134.22613306433982,137,238,250,0.026072924160478437,0.011364337472662875,0.002531997390730865
legacy_reblend_r40,fixed_gt30,93,2103049,122.3850728157071,115,235,249,0.020697568149862414,0.009021187808748155,0.00200993890299275
legacy_reblend_r40,mask,93,2190031,114.17957417041129,110,234,249,0.01987551774381276,0.008662891073231383,0.0019301096651143294
legacy_reblend_r50,all,93,13713408,27.293094539300515,10,156,228,0.002910582110588411,0.0012573096344832735,0.000274767585125448
legacy_reblend_r50,core_ge_8px,93,1669433,132.92625580062213,135,237,250,0.023908716312664238,0.010328057490177803,0.0022570537421986985
legacy_reblend_r50,fixed_gt30,93,2102966,120.95519043103883,113,233,249,0.018979859874101626,0.008198896225616582,0.0017917550735485025
