snip_id,regenerated_snip_id,comparable,legacy_shape,regenerated_shape,orientation_flipped,mean_abs_diff,rmse,max_abs_diff,p99_abs_diff,frac_pixels_above_floor,n_pixels_above_floor,legacy_mean,regenerated_mean,legacy_frac_saturated,regenerated_frac_saturated,legacy_foreground_px,regenerated_foreground_px
20250612_30hpf_ctrl_atf6_E03_e00_t0000,20250612_30hpf_ctrl_atf6_E03_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,5.98846435546875,8.104586318263935,88,30.0,0.6681586371527778,98524,24.169881184895832,27.84878879123264,0.0005900065104166666,0.00023735894097222222,147068,147456
20250612_30hpf_ctrl_atf6_E04_e00_t0000,20250612_30hpf_ctrl_atf6_E04_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,7.855190700954861,12.922193300610802,160,57.0,0.71405029296875,105291,27.317036946614582,31.55615234375,0.00042724609375,0.00016954210069444444,147072,147456
20250612_30hpf_ctrl_atf6_E05_e00_t0000,20250612_30hpf_ctrl_atf6_E05_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,10.858473036024305,17.158120605177682,196,73.0,0.8045315212673612,118633,27.704121907552082,34.18682183159722,0.0007120768229166666,0.0003323025173611111,147052,147441
20250612_30hpf_ctrl_atf6_E06_e00_t0000,20250612_30hpf_ctrl_atf6_E06_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,6.334493001302083,11.078708687706612,150,50.0,0.5827568901909722,85931,27.13660346137153,30.21750217013889,0.00017632378472222222,6.103515625e-05,147099,147456
20250612_30hpf_ctrl_atf6_E07_e00_t0000,20250612_30hpf_ctrl_atf6_E07_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,8.659708658854166,15.142600615717171,227,70.0,0.7852511935763888,115790,21.229288736979168,25.98992241753472,0.0005696614583333334,4.0690104166666664e-05,147024,147456
20250612_30hpf_ctrl_atf6_E08_e00_t0000,20250612_30hpf_ctrl_atf6_E08_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,7.605333116319445,12.534251575786412,167,55.0,0.7029893663194444,103660,25.29025607638889,29.16706000434028,0.0003323025173611111,0.00037299262152777775,147102,147453
20250612_30hpf_ctrl_atf6_E10_e00_t0000,20250612_30hpf_ctrl_atf6_E10_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,9.195536295572916,14.525464844902675,197,61.0,0.7642008463541666,112686,27.08737521701389,31.99581570095486,0.00025770399305555556,9.494357638888889e-05,147083,147454
20250612_30hpf_ctrl_atf6_E11_e00_t0000,20250612_30hpf_ctrl_atf6_E11_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,8.312371148003471,16.348852764273683,230,79.0,0.6529541015625,96282,25.317979600694443,29.16617160373264,0.0007188585069444445,0.0007731119791666666,147069,147456
20250612_30hpf_ctrl_atf6_E12_e00_t0000,20250612_30hpf_ctrl_atf6_E12_e01_BF_t0000,True,"(576, 256)","(576, 256)",True,4.690728081597222,7.780074201380926,98,34.0,0.4564344618055556,67304,23.06891547309028,25.06414116753472,0.00029161241319444444,0.00012885199652777778,147020,147456
20250612_30hpf_ctrl_atf6_F01_e00_t0000,20250612_30hpf_ctrl_atf6_F01_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,6.009453667534722,11.165707067755122,160,52.0,0.53326416015625,78633,21.76192898220486,23.44351535373264,0.0007459852430555555,2.712673611111111e-05,147035,147455
20250612_30hpf_ctrl_atf6_F02_e00_t0000,20250612_30hpf_ctrl_atf6_F02_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,6.749240451388889,11.356887575357323,134,51.0,0.6332329644097222,93374,23.81285942925347,26.66272650824653,0.00011528862847222222,2.712673611111111e-05,147042,147456
20250612_30hpf_ctrl_atf6_F03_e00_t0000,20250612_30hpf_ctrl_atf6_F03_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,6.754625108506945,8.664242919046249,111,30.0,0.7677001953125,113202,23.47616238064236,28.37066650390625,0.0005221896701388889,0.00048149956597222225,147088,147456
20250612_30hpf_ctrl_atf6_F04_e00_t0000,20250612_30hpf_ctrl_atf6_F04_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,9.62435574001736,18.154784443444488,207,85.0,0.7384168836805556,108884,28.268351236979168,32.56892225477431,0.00037977430555555556,4.7471788194444445e-05,147101,147454
20250612_30hpf_ctrl_atf6_F05_e00_t0000,20250612_30hpf_ctrl_atf6_F05_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,9.043131510416666,17.25644513061734,218,80.0,0.6939968532986112,102334,27.355692545572918,31.39257134331597,0.0008273654513888889,0.0011800130208333333,147067,147456
20250612_30hpf_ctrl_atf6_F06_e00_t0000,20250612_30hpf_ctrl_atf6_F06_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,7.841261121961805,13.384390920084831,193,59.0,0.6804877387152778,100342,28.881849500868057,32.794223361545136,0.0010579427083333333,0.00048828125,147041,147456
