experiment_order,experiment_id,path,stage_schema,row_count,unique_snip_count,unique_embryo_count,finite_stage_count,missing_stage_count,stage_min,stage_max,model_versions,unexpected_status_count,max_snips_per_embryo,trajectory_kind,ordered_finite_step_count,negative_stage_step_count,zero_stage_step_count,median_stage_step_hpf,p95_stage_step_hpf,max_stage_step_hpf
50,20240726,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20240726/stage_predictions/20240726_stage_predictions.csv,with_status,60,60,60,60,0,72.0,72.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
51,20250622_chem_28C_T00_1425,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250622_chem_28C_T00_1425/stage_predictions/20250622_chem_28C_T00_1425_stage_predictions.csv,with_status,91,91,91,91,0,26.0,26.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
52,20250622_chem_28C_T01_1658,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250622_chem_28C_T01_1658/stage_predictions/20250622_chem_28C_T01_1658_stage_predictions.csv,with_status,86,86,86,86,0,29.0,29.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
53,20250622_chem_34C_T00_1256,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250622_chem_34C_T00_1256/stage_predictions/20250622_chem_34C_T00_1256_stage_predictions.csv,with_status,78,78,78,78,0,26.0,26.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
54,20250622_chem_34C_T01_1632,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250622_chem_34C_T01_1632/stage_predictions/20250622_chem_34C_T01_1632_stage_predictions.csv,with_status,79,79,79,79,0,29.0,29.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
55,20250622_chem_35C_T00_1223_check,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250622_chem_35C_T00_1223_check/stage_predictions/20250622_chem_35C_T00_1223_check_stage_predictions.csv,with_status,79,79,79,79,0,26.0,26.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
56,20250622_chem_35C_T01_1605,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250622_chem_35C_T01_1605/stage_predictions/20250622_chem_35C_T01_1605_stage_predictions.csv,with_status,85,85,85,85,0,29.0,29.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
57,20250623_chem_28C_T02_1259,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250623_chem_28C_T02_1259/stage_predictions/20250623_chem_28C_T02_1259_stage_predictions.csv,with_status,86,86,86,86,0,48.0,48.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
58,20250623_chem_34C_T02_1231,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250623_chem_34C_T02_1231/stage_predictions/20250623_chem_34C_T02_1231_stage_predictions.csv,with_status,83,83,83,83,0,52.0,52.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
60,20250624_chem02_28C_T00_1356,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250624_chem02_28C_T00_1356/stage_predictions/20250624_chem02_28C_T00_1356_stage_predictions.csv,with_status,104,104,104,104,0,28.0,28.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
61,20250624_chem02_28C_T01_1808,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250624_chem02_28C_T01_1808/stage_predictions/20250624_chem02_28C_T01_1808_stage_predictions.csv,with_status,97,97,97,97,0,32.0,32.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
