experiment_id,source,authority,path,exists,row_count,size_bytes,mtime_ns,sha256
20260804_seahub_CHEM17_shard002,declared_plate_metadata,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM17_shard002/plate_metadata.csv,True,,63904.0,1.786036117321499e+18,df6f3fbea995a69c44646eb14ff7162721b3d2c92a42cd731c0bfb47d5604648
20260804_seahub_CHEM17_shard002,collection_provenance,tracked_paths.py experiment template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20260804_seahub_CHEM17_shard002/ingest_metadata/collection_provenance.json,False,,,,
20260804_seahub_CHEM17_shard003,stage_predictions,tracked_paths.py merged template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260804_seahub_CHEM17_shard003/stage_predictions/20260804_seahub_CHEM17_shard003_stage_predictions.csv,True,,9396.0,1.7860642314715786e+18,462c6cdb9348952b072c68a6c67fd9f24ae1655100a2295258a271daad1acf01
20260804_seahub_CHEM17_shard003,declared_frame_inventory,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM17_shard003/dropin_frame_inventory.csv,True,,18535.0,1.786036117373579e+18,791826a7039af45976a8b1f8072c84c6534fe2a42cda876215f63c24b12a7f68
20260804_seahub_CHEM17_shard003,declared_plate_metadata,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM17_shard003/plate_metadata.csv,True,,21872.0,1.786036117400069e+18,0f59f7cffd4cfab8aba8415c9ecbe44a39721c5cec92da3173d019e95fd0e7c4
20260804_seahub_CHEM17_shard003,collection_provenance,tracked_paths.py experiment template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20260804_seahub_CHEM17_shard003/ingest_metadata/collection_provenance.json,False,,,,
20260804_seahub_GENE10_shard001,stage_predictions,tracked_paths.py merged template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260804_seahub_GENE10_shard001/stage_predictions/20260804_seahub_GENE10_shard001_stage_predictions.csv,True,,27892.0,1.7860703164036308e+18,8e164afaa8d2e79300a8da1462a9f056cf9aae45b0e77a21c8c972bb9545e7da
20260804_seahub_GENE10_shard001,declared_frame_inventory,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_GENE10_shard001/dropin_frame_inventory.csv,True,,54687.0,1.786036117506516e+18,318dcf100d3f81d5372e54fa919f0086479ad8d4a6b6dafb11362945028b666b
20260804_seahub_GENE10_shard001,declared_plate_metadata,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_GENE10_shard001/plate_metadata.csv,True,,60280.0,1.786036117565439e+18,689b5747687a4404994ee32c58094f41475c4138a6a892c76334d714525a85a8
20260804_seahub_GENE10_shard001,collection_provenance,tracked_paths.py experiment template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20260804_seahub_GENE10_shard001/ingest_metadata/collection_provenance.json,False,,,,
20260804_seahub_GENE10_shard002,stage_predictions,tracked_paths.py merged template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260804_seahub_GENE10_shard002/stage_predictions/20260804_seahub_GENE10_shard002_stage_predictions.csv,True,,27892.0,1.786071867220512e+18,47e5be90bbe7be22f158d1c5d722fa49d8344a07b711de395ed6f0cf856ff73c
20260804_seahub_GENE10_shard002,declared_frame_inventory,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_GENE10_shard002/dropin_frame_inventory.csv,True,,54695.0,1.786036117672569e+18,036fd617e47cef3b5839f8615535feea66a72ebbb1fd294518763d0a8eec8840
20260804_seahub_GENE10_shard002,declared_plate_metadata,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_GENE10_shard002/plate_metadata.csv,True,,64736.0,1.786036117733381e+18,b044beeb446e2c134da53beecf04493c87e834f9548b44c093dc35b20c63762e
20260804_seahub_GENE10_shard002,collection_provenance,tracked_paths.py experiment template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20260804_seahub_GENE10_shard002/ingest_metadata/collection_provenance.json,False,,,,
20260804_seahub_GENE10_shard003,stage_predictions,tracked_paths.py merged template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260804_seahub_GENE10_shard003/stage_predictions/20260804_seahub_GENE10_shard003_stage_predictions.csv,True,,27892.0,1.7860726864751398e+18,aa99e43f91106c7028167ec24610df4545bc29e791c0d043819494f43e90b2bc
20260804_seahub_GENE10_shard003,declared_frame_inventory,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_GENE10_shard003/dropin_frame_inventory.csv,True,,54711.0,1.786036117840346e+18,7effa7fa8e04df3bf79f6a44d193f59650373e3bd9990bcf99d230a508744fb2
20260804_seahub_GENE10_shard003,declared_plate_metadata,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_GENE10_shard003/plate_metadata.csv,True,,64384.0,1.786036117900382e+18,3d3358533f00a26c5da1cf6c752ad15540dc7069f291800d188d7a7642239550
20260804_seahub_GENE10_shard003,collection_provenance,tracked_paths.py experiment template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20260804_seahub_GENE10_shard003/ingest_metadata/collection_provenance.json,False,,,,
