path,matched_terms,line_numbers,role_class
results/mcolon/20260127_create_src_analyze_tutorial/_investigation_dtw_methods/04e_normalization_alternatives.py,predicted_stage_hpf,107|108|109|110|116|117|121|122|131|140|165|174|262|263|268|269|273|274|280|289,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/_investigation_dtw_methods/04f_clustering_normalization_test.py,predicted_stage_hpf,60,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/_investigation_dtw_methods/04g_per_metric_dtw_combination.py,predicted_stage_hpf,138|327,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/_investigation_dtw_methods/04h_cross_experiment_validation.py,predicted_stage_hpf,111|285|299|334|440,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/cep290_tutorial_notebook.py,predicted_stage_hpf|time_window,50|113|116|134|146|152|153|169|215,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/debug_lpc_fitting.py,predicted_stage_hpf|time_window,47|54|65|69|74|75,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/debug_spline_fitting.py,predicted_stage_hpf|time_window,47|61|65|97|114,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/pca_debug.py,predicted_stage_hpf,10|87|100|101|154|158|162|166,launch_or_analysis_script
results/mcolon/20260207_analyze_sco_foxj1a_ift88_ift81-74_multiperwell_ms_experiment/01_plot_20260202_genotype_trends.py,predicted_stage_hpf,60,launch_or_analysis_script
results/mcolon/20260213_scope_usage_report/scope_usage_report.py,predicted_stage_hpf,22|48,launch_or_analysis_script
results/mcolon/20260213_stream_d_reference_embryo/pipeline/01_build_cohort_manifest.py,predicted_stage_hpf,401|499,launch_or_analysis_script
results/mcolon/20260213_stream_d_reference_embryo/pipeline/06_difference_classification_clustering.py,predicted_stage_hpf,192|200,launch_or_analysis_script
results/mcolon/20260213_subtle_phenotype_methods/input_data/build_standardized_inputs.py,predicted_stage_hpf,55,launch_or_analysis_script
results/mcolon/20260213_subtle_phenotype_methods/load_validation_data.py,predicted_stage_hpf,101|182|183,launch_or_analysis_script
results/mcolon/20260213_subtle_phenotype_methods/phase1_resampling_smoke.py,predicted_stage_hpf,55|59,launch_or_analysis_script
results/mcolon/20260213_subtle_phenotype_methods/run_embryo_first_persistence.py,predicted_stage_hpf,176|564|567|570,launch_or_analysis_script
results/mcolon/20260215_roi_discovery_via_ot_feature_maps/scripts/SIMPLE_CHECK.py,predicted_stage_hpf,60|80|88,launch_or_analysis_script
results/mcolon/20260215_roi_discovery_via_ot_feature_maps/scripts/debug_mask_pipeline.py,predicted_stage_hpf,33,launch_or_analysis_script
results/mcolon/20260215_roi_discovery_via_ot_feature_maps/scripts/debug_masks.py,predicted_stage_hpf,42|94|95|100|101|108,launch_or_analysis_script
results/mcolon/20260215_roi_discovery_via_ot_feature_maps/scripts/debug_sampling.py,predicted_stage_hpf,32|33|41|50|60,launch_or_analysis_script
results/mcolon/20260215_roi_discovery_via_ot_feature_maps/scripts/s01_select_reference_mask.py,predicted_stage_hpf,71|93|106|107|113|276|390|410,launch_or_analysis_script
results/mcolon/20260215_roi_discovery_via_ot_feature_maps/scripts/s01b_visualize_masks.py,predicted_stage_hpf,155|156|163|202,launch_or_analysis_script
results/mcolon/20260215_roi_discovery_via_ot_feature_maps/scripts/s02_compute_ot_features.py,predicted_stage_hpf,72|115|120|130|188|260,launch_or_analysis_script
results/mcolon/20260215_roi_discovery_via_ot_feature_maps/scripts/s02_run_phase0.py,predicted_stage_hpf,88|143|162|174|175|189|259|315,launch_or_analysis_script
results/mcolon/20260215_roi_discovery_via_ot_feature_maps/scripts/verify_genotypes.py,predicted_stage_hpf,30|31|63|89,launch_or_analysis_script
results/mcolon/20260216_canonical_aligner_debug/debug_aligner.py,predicted_stage_hpf,116|150|151|190,launch_or_analysis_script
results/mcolon/20260216_canonical_aligner_debug/debug_alignment.py,predicted_stage_hpf,29,launch_or_analysis_script
results/mcolon/20260216_canonical_aligner_debug/debug_alignment_by_embryo_id.py,predicted_stage_hpf,65|144,launch_or_analysis_script
results/mcolon/20260216_canonical_aligner_debug/debug_alignment_pairs.py,predicted_stage_hpf,161|162,launch_or_analysis_script
results/mcolon/20260216_canonical_aligner_debug/debug_coarse_scoring_fix.py,predicted_stage_hpf,89,launch_or_analysis_script
results/mcolon/20260216_canonical_aligner_debug/debug_phase0_samples_012_013.py,predicted_stage_hpf,169,launch_or_analysis_script
results/mcolon/20260216_canonical_aligner_debug/debug_tuple_conversion.py,predicted_stage_hpf,32,launch_or_analysis_script
results/mcolon/20260216_canonical_aligner_debug/debug_yolk_pivot_rotation.py,predicted_stage_hpf,73,launch_or_analysis_script
results/mcolon/20260222_dev_consistently_misclassified_embryos/run_allpairs_corridor_followup.py,predicted_stage_hpf,428,launch_or_analysis_script
results/mcolon/20260222_dev_consistently_misclassified_embryos/run_cep290_stage_geometry.py,predicted_stage_hpf|time_window,192|419,launch_or_analysis_script
results/mcolon/20260302_NWDB_talk_figures_analysis/01_run_reference_genotype_classification_curvature.py,predicted_stage_hpf,185|202|203|275,launch_or_analysis_script
results/mcolon/20260302_NWDB_talk_figures_analysis/02_run_reference_genotype_condensation.py,predicted_stage_hpf,76,launch_or_analysis_script
results/mcolon/20260302_NWDB_talk_figures_analysis/07_plot_phenotype_distribution_by_pair.py,predicted_stage_hpf,73|74,launch_or_analysis_script
results/mcolon/20260302_NWDB_talk_figures_analysis/10_plot_curvature_het_vs_wt.py,predicted_stage_hpf,134|161,launch_or_analysis_script
results/mcolon/20260302_NWDB_talk_figures_analysis/explore_plate_timelapse_candidates.py,predicted_stage_hpf,12|159|196|197,launch_or_analysis_script
results/mcolon/20260302_NWDB_talk_figures_analysis/make_not_penetrant_candidate_track_images.py,predicted_stage_hpf,165|168|183|198|207|208|255|257|259|319,launch_or_analysis_script
results/mcolon/20260302_NWDB_talk_figures_analysis/make_nwdb_curvature_animation.py,predicted_stage_hpf,245|449|481|496|548|557|558|621|629|648|649|759|796|806|1117|1247|1396|1397|1411,launch_or_analysis_script
results/mcolon/20260302_NWDB_talk_figures_analysis/make_nwdb_phenotype_genotype_transition.py,predicted_stage_hpf,208|246|309|385|391|511|519|520,launch_or_analysis_script
results/mcolon/20260302_NWDB_talk_figures_analysis/make_nwdb_phenotype_summary_individual_se_plots.py,predicted_stage_hpf,115|144,launch_or_analysis_script
results/mcolon/20260302_NWDB_talk_figures_analysis/make_nwdb_phenotype_transition_static_plots.py,predicted_stage_hpf,192|207|221|283|377|429|435|441,launch_or_analysis_script
results/mcolon/20260302_analyze_cep290_20260208_20260210/01_plot_20260208_genotype_trends.py,predicted_stage_hpf,79,launch_or_analysis_script
results/mcolon/20260302_analyze_cep290_20260208_20260210/02_plot_20260210_genotype_trends.py,predicted_stage_hpf,79,launch_or_analysis_script
results/mcolon/20260302_analyze_cep290_20260208_20260210/03_plot_combined_genotype_trends.py,predicted_stage_hpf,86,launch_or_analysis_script
results/mcolon/20260302_cep290_genotype_pair_trends_20260208_20260210/01_plot_cep290_genotype_pair_trends.py,predicted_stage_hpf,63,launch_or_analysis_script
results/mcolon/20260308_penetrance_quantile_envelope/config.py,predicted_stage_hpf,30,launch_or_analysis_script
