alternative_axis,window_hpf,stratum,stratum_value,sampled_anchor_count,median_jaccard,p05_jaccard,p95_jaccard,median_baseline_candidate_count,median_alternative_candidate_count
nominal_clock,1.5,experiment_id,4,3,0.3860103626943005,0.33664504604938117,0.41571647680446927,2491.0,2562.0
nominal_clock,1.5,experiment_id,42,11,0.6032731376975169,0.4119629859408055,0.8898092781647129,1015.0,978.0
nominal_clock,1.5,experiment_id,5,5,0.408675799086758,0.24529168470158225,0.8500284216509821,415.0,459.0
nominal_clock,1.5,experiment_id,6,5,0.3954521693674856,0.31889664670995305,0.5611252622894575,2536.0,2803.0
nominal_clock,1.5,experiment_id,7,5,0.8181818181818182,0.816969696969697,0.8224598930481283,63.0,77.0
nominal_clock,1.5,experiment_id,8,3,0.5061728395061729,0.27710080043413376,0.8709712662515022,103.0,113.0
nominal_clock,1.5,experiment_id,9,5,0.47398190045248867,0.24009407282798684,0.7466803699897224,2134.0,1970.0
nominal_clock,3.0,experiment_id,1,5,0.29676470588235293,0.1478629887518934,0.488226042969035,2206.0,2203.0
nominal_clock,3.0,experiment_id,10,1,1.0,1.0,1.0,152.0,152.0
nominal_clock,3.0,experiment_id,15,2,0.11781208522287358,0.037093708522287355,0.19853046192345977,4237.0,3853.5
nominal_clock,3.0,experiment_id,17,4,0.5192307692307692,0.14696391394864677,0.5610494482514558,1053.0,1170.0
nominal_clock,3.0,experiment_id,2,6,0.4357006139272544,0.33041555373609116,0.6489678568222909,3981.0,4632.5
nominal_clock,3.0,experiment_id,20,4,0.7696168506735106,0.33442958242209203,0.8689186437226352,419.0,370.5
nominal_clock,3.0,experiment_id,21,7,0.5604575163398693,0.44564258127638184,0.8701188455008486,787.0,1123.0
nominal_clock,3.0,experiment_id,22,1,0.6151685393258427,0.6151685393258427,0.6151685393258427,300.0,275.0
nominal_clock,3.0,experiment_id,23,3,0.6876513317191283,0.6770984665052462,0.7338253741357682,369.0,328.0
nominal_clock,3.0,experiment_id,24,3,0.8995983935742972,0.3484860497915596,0.9618348393574297,256.0,248.0
nominal_clock,3.0,experiment_id,25,5,0.8984126984126984,0.43724259932514115,0.9736267815924975,507.0,566.0
nominal_clock,3.0,experiment_id,26,7,0.8604651162790697,0.24551206644565643,0.9732240437158469,549.0,500.0
nominal_clock,3.0,experiment_id,28,5,0.3757855048177629,0.15500409331255996,0.7263817351285106,1161.0,1128.0
nominal_clock,3.0,experiment_id,3,6,0.3003831900116192,0.21425127733672877,0.5096192847245526,2630.0,2321.0
nominal_clock,3.0,experiment_id,32,9,0.7772277227722773,0.1373244676306889,0.9192401433691756,629.0,598.0
nominal_clock,3.0,experiment_id,33,9,0.8588807785888077,0.8323487488121634,0.997037037037037,822.0,706.0
nominal_clock,3.0,experiment_id,36,14,0.8069285044671392,0.6545593448495167,0.9151249828487878,2469.5,2444.0
nominal_clock,3.0,experiment_id,4,3,0.5854230825634257,0.5567157517125052,0.6381870684694864,4715.0,5100.0
nominal_clock,3.0,experiment_id,42,11,0.771802982376864,0.6588557536229497,0.8845171728760572,1954.0,1991.0
nominal_clock,3.0,experiment_id,5,5,0.5100840336134453,0.4546212788583505,0.8810457834848079,790.0,895.0
nominal_clock,3.0,experiment_id,6,5,0.5493853327681221,0.4646879469214954,0.6493984512637372,5166.0,5656.0
nominal_clock,3.0,experiment_id,7,5,0.9047619047619048,0.9035053140096618,0.9104265119339594,133.0,147.0
nominal_clock,3.0,experiment_id,8,3,0.7593984962406015,0.5180477007959992,0.9119588069700317,196.0,211.0
nominal_clock,3.0,experiment_id,9,5,0.6517642341619888,0.4777337172145644,0.8581341038619165,4116.0,4123.0
