well,observed_legacy_uncropped__n_pixels,observed_legacy_uncropped__mean,observed_legacy_uncropped__p95,observed_legacy_uncropped__frac_ge_250,observed_legacy_uncropped__frac_eq_255,reconstructed_legacy_memory__n_pixels,reconstructed_legacy_memory__mean,reconstructed_legacy_memory__p95,reconstructed_legacy_memory__frac_ge_250,reconstructed_legacy_memory__frac_eq_255,reconstructed_legacy_jpeg__n_pixels,reconstructed_legacy_jpeg__mean,reconstructed_legacy_jpeg__p95,reconstructed_legacy_jpeg__frac_ge_250,reconstructed_legacy_jpeg__frac_eq_255,current_source_legacy_mask__n_pixels,current_source_legacy_mask__mean,current_source_legacy_mask__p95,current_source_legacy_mask__frac_ge_250,current_source_legacy_mask__frac_eq_255,legacy_source_current_mask__n_pixels,legacy_source_current_mask__mean,legacy_source_current_mask__p95,legacy_source_current_mask__frac_ge_250,legacy_source_current_mask__frac_eq_255,current_source_current_mask__n_pixels,current_source_current_mask__mean,current_source_current_mask__p95,current_source_current_mask__frac_ge_250,current_source_current_mask__frac_eq_255,reconstruction__mae,reconstruction__rmse,reconstruction__correlation,source_raw__mae,source_raw__rmse,source_raw__correlation
D03,17896,144.328509164059,240.0,0.015422440768886903,0.004637907912382656,17899,145.2601262640371,240.0,0.014861165428236215,5.586904296329404e-05,17899,145.26649533493492,240.0,0.015475724900832448,0.004637130565953405,17899,143.0185485222638,237.0,0.00983295156153975,0.00011173808592658808,17479,147.8737341953201,240.0,0.014531723782825105,0.0,17479,146.5028319697923,238.0,0.012071628811716917,0.00017163453286801305,0.0,0.0,1.0,4.899556477864583,7.142844654859496,0.9948096704560832
D04,21976,143.1259555879141,238.0,0.013969785220240262,0.003913360029122679,22066,143.65285960300915,238.0,0.012326656394453005,0.0006344602555968459,22066,143.66088099338347,238.0,0.01391280703344512,0.003897398712952053,22066,144.4643795885072,238.0,0.011737514728541648,0.0005438230762258679,21749,145.07315278863396,238.0,0.009747574601131086,9.195825095406686e-05,21749,145.54816313393718,238.0,0.011724676996643525,9.195825095406686e-05,0.0,0.0,1.0,3.8396674262152777,5.311608891766903,0.9957780682302053
D05,17176,154.78691197019097,245.0,0.01868886818816954,0.002969259431765254,17177,156.20201432147638,244.0,0.016650171741281947,0.0001746521511323281,17177,156.18984688828084,245.0,0.018745997554869883,0.0029690865692495777,17177,158.72323455783896,246.0,0.025324561914187575,5.821738371077604e-05,16643,159.52238178213062,246.0,0.02397404314126059,0.00018025596346812474,16643,162.54233010875444,246.0,0.021871056900799137,0.00018025596346812474,0.0,0.0,1.0,4.441541883680555,7.225073514019502,0.9944584074504589
D06,20136,141.49652363925307,239.0,0.013011521652761223,0.0034266984505363527,19937,143.83001454581932,240.0,0.01073381150624467,0.00010031599538546422,19937,143.81617093845614,239.0,0.013141395395495812,0.003460901840798515,19937,147.06821487686213,242.0,0.011536339469328385,0.00010031599538546422,19222,149.04916241806265,241.0,0.014202476329206118,5.202372281760483e-05,19222,150.8492352512746,240.0,0.010404744563520965,0.00026011861408802413,0.0,0.0,0.9999999999999999,3.832126193576389,6.535589874245497,0.9906653382262935
D07,14240,140.4433988764045,240.0,0.012710674157303372,0.0030196629213483147,14233,141.6180706808122,240.0,0.011944073631700976,0.0002810370266282583,14233,141.60015457036465,240.0,0.012787184711585752,0.003091407292910841,14233,142.11311740321787,239.0,0.00737722194899178,7.025925665706457e-05,13530,148.2830746489283,241.0,0.016334072431633408,7.390983000739098e-05,13530,148.7459719142646,240.0,0.011012564671101257,7.390983000739098e-05,0.0,0.0,0.9999999999999999,3.5142890082465277,5.5955797703705255,0.9946488241471799
D08,13304,141.46249248346362,239.0,0.011800962116656644,0.0039085989176187615,13243,143.67152457902287,240.0,0.01162878501850034,7.551159102922299e-05,13243,143.69833119383824,239.0,0.012006342973646455,0.003926602733519595,13243,142.81975383221325,239.0,0.009212414105565205,7.551159102922299e-05,12560,149.51154458598725,241.0,0.01464968152866242,7.961783439490445e-05,12560,148.7764331210191,241.0,0.012101910828025478,7.961783439490445e-05,0.0,0.0,1.0,3.411410861545139,5.573659534794804,0.9903945491528964
D09,17728,137.24667193140795,240.0,0.019235108303249097,0.005358754512635379,17909,138.3739460606399,240.0,0.019319895024847843,5.583784689262382e-05,17909,138.36802724886928,240.0,0.019543246412418336,0.00541627114858451,17909,137.9500251270311,239.0,0.013121894019766598,0.0007817298564967335,17187,142.2758480246698,239.0,0.01483679525222552,0.00011636702158608251,17187,143.72549019607843,240.0,0.017804154302670624,0.0005236515971373713,0.0,0.0,1.0,4.238301595052083,6.808338134465107,0.9841899345034628
D10,21560,139.5185064935065,238.0,0.012476808905380334,0.002829313543599258,21529,140.8394258906591,238.0,0.010869060337219565,9.289795160016721e-05,21529,140.8299502995959,238.0,0.012494774490222491,0.0028333875238051,21529,141.87951135677457,239.0,0.01235542756282224,4.6448975800083605e-05,20637,143.67446818820565,238.0,0.012307990502495517,4.84566555216359e-05,20637,144.92707273343993,240.0,0.014488540000969134,4.84566555216359e-05,0.0,0.0,1.0,3.3794759114583335,5.893271169205157,0.9944264046267847
D11,21392,139.81740837696336,238.0,0.011452879581151832,0.0030852655198204937,1,225.0,225.0,0.0,0.0,1,226.0,226.0,0.0,0.0,1,221.0,221.0,0.0,0.0,20008,147.6044582167133,238.0,0.010345861655337865,4.998000799680128e-05,20008,147.02174130347862,237.0,0.0075469812075169935,4.998000799680128e-05,73.79033067491319,91.13078540215882,-0.08675433404230778,1.04803466796875,4.615020524577795,0.9976168798454822
D12,18528,150.30413428324698,244.0,0.025097150259067356,0.008257772020725388,18546,151.57122829720694,244.0,0.02588159171789065,0.00048527984471044967,18546,151.54362126604119,244.0,0.025234551924943383,0.00830367734282325,18546,152.2771487113124,242.0,0.020273913512347676,0.0028038391027714873,17792,155.42654001798562,245.0,0.028158723021582732,0.0010116906474820144,17792,157.076157823741,244.0,0.023943345323741008,0.0011241007194244604,0.0,0.0,1.0,3.0067952473958335,6.4012302487816095,0.9927581113628225
