stage_hpf,p5,p50,p95,n
117.25,2806.116668187356,2845.795760000258,2933.605490520347,0
117.75,2802.188701674436,2844.7120429469096,2932.6726136303632,0
118.25,2798.2020212327852,2843.68816167139,2931.814968188684,0
118.75,2794.1579136003033,2842.7266106152856,2931.0351574774613,0
119.25,2790.0576655148884,2841.8298842201757,2930.335784778838,0
119.75,2785.902563714441,2841.0004769276447,2929.7194533749635,0
120.25,2781.693894936858,2840.2408831792727,2929.1887665479867,0
120.75,2777.432945920042,2839.5535974166446,2928.7463275800524,0
121.25,2773.1210034018886,2838.94111408134,2928.394739753311,0
121.75,2768.759354120299,2838.4059276149437,2928.1366063499095,0
122.25,2764.349284813172,2837.950532459036,2927.9745306519926,0
122.75,2759.8920822184064,2837.577423055201,2927.9111159417134,0
123.25,2755.389033073901,2837.28909384502,2927.9489655012135,0
123.75,2750.841424117556,2837.088039270076,2928.090682612646,0
124.25,2746.25054208727,2836.9767537719504,2928.3388705581565,0
124.75,2741.617673720942,2836.9577317922253,2928.6961326198902,0
125.25,2736.9441057564713,2837.0334677724854,2929.165072079998,0
125.75,2732.2311249317568,2837.206456154312,2929.7482922206245,0
126.25,2727.480017984698,2837.4791913792865,2930.448396323921,0
126.75,2722.692071653195,2837.8541678889924,2931.2679876720326,0
127.25,2717.868572675145,2838.3338801250093,2932.2096695471073,0
127.75,2713.0108077884465,2838.9208225289244,2933.276045231295,0
128.25,2708.1200637310017,2839.617489542317,2934.4697180067374,0
128.75,2703.1976272407082,2840.4263756067703,2935.793291155591,0
129.25,2698.2447850554654,2841.3499751638656,2937.2493679599947,0
